outfitID,items,look,season,occasion
b1,"p1,p2,p3,p4，p5","Japanese Cityboy style: light gray hooded sweatshirt paired with distressed wide-leg jeans, tan casual shoes echoing a relaxed vibe, loose fit with an effortless street aesthetic.",Spring,School
b2,"p6,p7,p8,p9,p10","Korean trendy style: navy half-zip sweatshirt with off-white wide-leg trousers, decorative chains enhance trendy details, high versatility for daily street style.",Autumn,Travel
b3,"p11,p12,p13,p14","Outdoor techwear style: black slim-fit knit top with camouflage multi-pocket cargo pants, rugged silhouette combined with metal accessories, balancing utility and a cool, edgy aura.",Autumn,Sports
b4,"p15,p16,p17,p18,p19","Quiet luxury old money style: oatmeal-colored collared knit layered over a turtleneck, black wide-leg trousers with metal chain accents, sophisticated texture with a relaxed, upscale feel.",Autumn/Winter,Home
b5,"p20,p21,p22,p23,p24,p25,p26","American vintage style: distressed brown denim jacket layered over a plaid shirt, khaki wide-leg trousers with a crossbody bag, rich vintage tone with an effortless vibe.",Spring,Social
b6,"p27,p28,p29,p30,p31","Commuter casual style: light gray graphic sweatshirt layered over a plaid shirt, paired with distressed ripped jeans, crossbody bag accents enhance the relaxed feel, suitable for daily commuting.",Spring/Summer,School
b7,"p32,p33,p34,p35,p36,p37","Avant-garde deconstructed style: dark gray cropped puffer jacket layered over a leopard print top, off-white wide-leg trousers echoing niche design, striking silhouette with an avant-garde tone.",Autumn/Winter,Home
b8,"p38,p39,p40,p41,p42","Intellectual style: washed blue denim set, enhanced with decorative details and a canvas bag, artistic and effortless with thoughtful styling.",Spring,Travel
b9,"p43,p44,p45,p46,p47","Korean trendy style: black and blue color-block knit cardigan with black wide-leg trousers, numeric and badge elements reinforce the style, trendy and eye-catching for daily street wear.",Autumn,School
b10,"p48,p49,p50,p51,p52","American vintage style: plaid zip-up shirt jacket with black wide-leg trousers, western hat and metal chain accents, vintage ruggedness with an American street vibe.",Autumn,Home
b11,"p53,p54,p55,p56,p57,p58","Japanese Cityboy style: navy plaid jacket paired with dark wide-leg jeans, baseball cap and tan casual shoes echoing a relaxed vibe, loose fit with an effortless street aesthetic.",Autumn/Winter,Travel
b12,"p59,p60,p61,p62","Korean trendy style: navy striped long-sleeve top with dark brown wide-leg trousers, chain and silk scarf decorations enhance trendy details, highly versatile for daily street wear.",Spring,Social
b13,"p63,p64,p65,p66","Korean trendy style: gray and black striped collared top with dark brown wide-leg trousers, letter elements highlight the style, minimalist with a trendy, cool tone.",Autumn,Home
b14,"p67,p68,p69,p70,p71","Avant-garde deconstructed style: gray and black plaid shirt jacket with off-white cargo pants, sequin hem embellishments break the norm, prominent design with a niche tone.",Autumn/Winter,School
b15,"p72,p73,p74,p75,p76","Commuter casual style: khaki long-sleeve top with dark brown wide-leg trousers, leopard print hat and hanging accessories add personality, comfortable yet suitable for daily scenarios.",Spring,Home
b16,"p77,p78,p79,p80,p81","Commuter casual style: khaki graphic long-sleeve top paired with light brown wide-leg trousers, layered with a plaid shirt for decoration, prominent relaxed feel, suitable for daily commuting.",Autumn,Home
b17,"p82,p83,p84,p85,p86,p87","Intellectual style: black and gray textured knit top with light brown wide-leg trousers, beret and crossbody bag accents, artistic temperament with an effortless flair.",Autumn/Winter,Travel
b18,"p88,p89,p90,p91","Quiet luxury old money style: black quilted knit top layered over a turtleneck, paired with black cargo pants, metal hanging accessories reinforce the rugged texture, balancing utility and style.",Autumn,School
b19,"p92,p93,p94,p95,p96,p97","Quiet luxury old money style: light khaki knit top layered over a black inner piece, paired with off-white cargo pants, minimalist color palette and clean silhouette offer both sophistication and a relaxed feel.",Spring,Social
b20,"p98,p99,p100,p101,p102","Quiet luxury old money style: black collared knit jacket paired with matching wide-leg trousers, leather pocket splicing details, overall texture is steady and refined with a relaxed vibe.",Autumn/Winter,Home
b21,"p103,p104,p105,p106,p107","American vintage style: dark denim jacket with embroidery details, paired with gray wide-leg trousers, metal hanging accessory accents, vintage texture with an effortless flair.",Autumn,School
b22,"p108,p109,p110,p111,p112","American vintage style: dark denim jacket layered over a burgundy inner piece, paired with gray wide-leg trousers, embroidery elements reinforce the vintage vibe, rich in layering.",Autumn,Travel
