outfitID,items,look,season,occasion
b1,"p1,p2,p3","American casual sportswear: black sweatshirt paired with black joggers, minimalist athletic set, comfortable and trendy, suitable for daily wear.",Spring,Daily/Sports
b2,"p4,p5,p6","American casual sportswear: black sweatshirt with graphic print, paired with side-striped track pants, refined details, maintaining a casual and relaxed athletic style.",Spring,Daily/Sports
b3,"p7,p8,p9,p10,p11","British collegiate style: khaki sleeveless vest layered over a white long-sleeve top, paired with matching trousers, featuring plaid detail on the back, soft tones with an intellectual aesthetic.",Spring,Daily
b4,"p12,p13,p14,p15","American casual sportswear: black hooded zip-up jacket layered over a white short-sleeve tee, paired with matching pants and a hat, a clean and warm ensemble.",Spring,Daily/Sports
b5,"p16,p17,p18,p19,p20","French chic: pink quilted vest layered over a white short-sleeve tee, paired with a matching pleated skirt, refined and sweet style, suitable for semi-formal occasions.",Spring/Summer,Daily/School
b6,"p21,p22,p23","Chinese street style: light gray all-over print vest layered over a white long-sleeve top, paired with tan trousers, a personalized and comfortable look.",Spring,Daily/Sports
b7,"p24,p25,p26","Chinese street style: white and brown color-block short-sleeve tee paired with khaki shorts, vibrant design, suitable for summer daily wear.",Summer,Daily/Travel
b8,"p27,p28,p29","American casual sportswear: light gray short-sleeve tee paired with dark gray shorts, fresh color palette, a minimalist choice for summer leisure.",Summer,Daily/Sports
b9,"p30,p31,p32,p33","Playful and cute style: off-white short-sleeve tee paired with all-over print shorts, soft colors and cute patterns, fitting for a child's temperament.",Summer,Daily/School
b10,"p34,p35,p36","American casual sportswear: black sweatshirt paired with matching pants, white hem detail on the sweatshirt adds layering, casual and trendy style.",Spring,Daily/Sports
b11,"p37,p38,p39","Chinese street style: light-colored short-sleeve tee paired with dark shorts, coordinated decorative elements, minimalist and fresh, suitable for summer street leisure.",Summer,Daily/Travel
b12,"p40,p41,p42","American casual sportswear: light white short-sleeve tee paired with light purple shorts, soft and fresh tones, styled with a sun hat, casual and comfortable, suitable for summer outdoors.",Spring/Summer,Daily/School
b13,"p43,p44,p45,p46,p47","Playful and cute style: gray sweatshirt with scarf print, paired with a multi-layered pleated skirt and knee-high socks, cute and soft look with coordinated details.",Spring,Daily/Sports
b14,"p48,p49,p50,p51","British collegiate style: leather jacket layered over a striped shirt, paired with wide-leg trousers and a beret, vintage and intellectual, suitable for daily collegiate scenes.",Spring,Daily
b15,"p52,p53,p54,p55","Island resort style: gradient blue down jacket paired with brown trousers and stacked socks, fresh and soft tones, loose fit for a relaxed feel.",Spring,Daily/Sports
b16,"p56,p57,p58","Vintage festive style: heart-patterned sweater paired with dark wide-leg trousers, warm tones with vintage patterns, combining festive atmosphere with daily casual wear.",Spring,Daily
b17,"p59,p60,p61,p62","Playful and cute style: light blue striped sweater with cat print, paired with dark wide-leg trousers, cute patterns and soft tones, fitting for a child's temperament.",Spring,Daily
b18,"p63,p64,p65,p66,p67","French chic: denim set with leather accents, styled with a refined handbag, elegant and minimalist, a light French daily refined look.",Spring,Daily/Social
b19,"p68,p69,p70","Vintage festive style: red pinafore dress layered over a long-sleeve top, decorated with bow elements, red tones for a festive atmosphere, sweet and refined style.",Spring/Summer,Daily/School
b20,"p71,p72,p73","Playful and cute style: gray short-sleeve tee with apple print, paired with light-colored wide-leg trousers, ruffled hem design adds cuteness, overall relaxed and lively.",Summer,Daily/Travel
b21,"p74,p75,p76,p77","British collegiate style: navy diamond-pattern dress with a pearl collar and plaid socks, refined collegiate feel, suitable for semi-formal daily wear.",Spring,School/Social
b22,"p78,p79,p80,p81,p82","Playful and cute style: gray sweater with cartoon star print, paired with matching wide-leg trousers and a beret, cute and stylish.",Spring,Daily
b23,"p83,p84,p85,p86,p87","American casual sportswear: off-white set with bear print, paired with red shoes and a handbag, soft tones for a casual and sweet look.",Spring,Daily/Social
b24,"p88,p89,p90,p91","Chinese street style: navy hooded set with irregular skirt hem design, minimalist with a touch of personality, suitable for daily street wear.",Spring,Daily
b25,"p92,p93,p94,p95","Playful and cute style: off-white sweater with bear print, paired with khaki wide-leg trousers, soft and fresh, fitting for a child's temperament.",Spring,Daily/Sports
b26,"p96,p97,p98,p99","Vintage festive style: red hooded jacket paired with light blue wide-leg trousers, decorated with cartoon elements, red tones for a festive atmosphere.",Summer,Daily/Travel
b27,"p100,p101,p102,p103,p104","French chic: off-white cardigan layered over a white tee with a gray pleated skirt, rose detail on cuffs adds refinement, suitable for light elegant occasions.",Spring,Daily/Social
b28,"p105,p106,p107,p108","British collegiate style: off-white sweatshirt with cartoon print, paired with a plaid pleated skirt and brown boots, full vintage collegiate vibe.",Spring,Daily/Sports
b29,"p109,p110,p111","Vintage festive style: red sweater with heart and dove print, paired with navy wide-leg trousers, red and navy color scheme for a warm festive feel.",Spring,Daily/School
b30,"p112,p113,p114,p115,p116","Playful and cute style: white short-sleeve tee with smiley face print, paired with black shorts and lace-trimmed socks, lively and cute, suitable for summer leisure.",Summer,Daily/Travel
b31,"p117,p118,p119,p120","Playful and cute style: blue and white color-block sweater with deer print, paired with a red scarf and black wide-leg trousers, bright and cute colors, suitable for daily leisure.",Winter,Daily/Travel
b32,"p121,p122,p123,p124,p125","Chinese street style: navy cardigan with cartoon accents, paired with gray wide-leg trousers and a plush hat, personalized and comfortable, suitable for street wear.",Spring,Daily
b33,"p126,p127,p128,p129,p130","British collegiate style: off-white sweater with floral print, paired with a brown pleated skirt and mid-calf socks, vintage collegiate feel, suitable for semi-formal occasions.",Spring,Daily/Social
b34,"p131,p132,p133,p134,p135","American casual sportswear: striped tank top layered over a white tee, paired with denim bermuda shorts and lace-trimmed socks, fresh and casual, suitable for summer daily wear.",Summer,Daily/Travel
b35,"p136,p137,p138,p139","Island resort style: navy constellation print set, paired with a woven bag and sandals, relaxed and fresh, suitable for resort scenes.",Summer,Daily/Social
b36,"p140,p141,p142,p143","Playful and cute style: navy set with floral smiley face print, paired with a pink scarf, lively and cute colors, fitting for a child's temperament.",Winter,Daily/Travel
b37,"p144,p145,p146,p147","American casual sportswear: gray set with refined accents, paired with a white tee and handbag, minimalist and refined, suitable for daily street wear.",Spring,Daily
b38,"p148,p149,p150,p151","French chic: white tank top layered over a striped shirt, paired with black shorts and leather shoes, elegant and refined, suitable for semi-formal occasions.",Summer,Daily/School
b39,"p152,p153,p154,p155,p156,p157","Sweet and cool biker style: black leather jacket layered over a red sweater, paired with a gray pleated skirt, sweet and cool mix, personalized and fashionable.",Spring,Daily/Social
b40,"p158,p159,p160","French chic: pink and white sweater with heart print, paired with a pink long skirt, soft and refined, suitable for a gentle daily look.",Spring/Summer,Daily/School
b41,"p161,p162,p163","French chic: off-white quilted cardigan with black plaid pleated skirt, refined and elegant, suitable for semi-formal daily occasions.",Spring,School/Social
b42,"p164,p165,p166,p167","French chic: off-white printed set with color-block socks, gentle and refined, fits sweet girl style.",Spring,Daily
b43,"p168,p169,p170,p171","British preppy: navy argyle sweater with matching pleated skirt, styled with beret and leather boots, full vintage academic vibe.",Spring,Daily/Social
b44,"p172,p173,p174,p175","British preppy: pink and grey argyle vest layered over white long-sleeve top, with grey pleated skirt, soft tones for an artistic look.",Spring,Daily/Sports
b45,"p176,p177,p178,p179","Vintage festive: red-based patterned sweater with red pleated skirt, red tones and vintage patterns, strong holiday atmosphere.",Spring/Summer,Daily/Social
b46,"p180,p181,p182,p183,p184","American casual sportswear: navy baseball jacket with argyle shorts, a blend of preppy and sporty, comfortable and stylish.",Spring,School/Social
b47,"p185,p186,p187,p188,p189","Playful cute: light blue set with cartoon embellishments, paired with silver shoes and grey socks, lively and cute, suitable for daily wear.",Spring/Summer,Daily/Sports
b48,"p190,p191,p192,p193,p194,p195","Sweet-cool biker: off-white faux shearling jacket layered over printed sweater, with red skirt and snow boots, sweet-cool mix for personality.",Winter,Daily/Travel
b49,"p196,p197,p198,p199,p200,p201","British preppy: blue and white plaid set layered over striped top, with leather shoes, fresh academic look, suitable for school.",Spring,School/Social
b50,"p202,p203,p204,p205","Playful cute: light blue striped cardigan layered over cartoon T-shirt, with black maxi skirt, balancing cuteness and elegance, suitable for casual outings.",Spring,Daily
b51,"p206,p207,p208","British preppy: striped vest layered over hoodie, paired with plaid wide-leg trousers, vintage plaid and layering for an artistic look, suitable for casual daily scenes.",Summer,Daily/Travel
b52,"p209,p210,p211,p212,p213,p214","French chic: black jacket layered over cherry T-shirt, paired with blue jeans and red beret, sweet-cool mix for a refined look, suitable for semi-formal occasions.",Spring,Daily/Social
b53,"p215,p216,p217,p218,p219","Vintage festive: red and grey color-block sweater with matching mini skirt, heart embellishments and red tones, festive and cute.",Spring,Daily/Sports
b54,"p220,p221,p222,p223,p224","Playful cute: red vest layered over white shirt, paired with plaid maxi skirt, cartoon embellishments and tiered skirt design for a soft look, suitable for children's outings.",Summer,Daily/School
b55,"p225,p226,p227,p228,p229","Island resort: light blue hoodie with white tiered skirt, fresh tones and layered hem for a relaxed vibe, suitable for casual vacations.",Spring,Daily
b56,"p230,p231,p232","French chic: pink set with sandals, light pink tones and lace details for a gentle and refined look, suitable for summer semi-formal scenes.",Winter,Daily/Travel
