outfitID,items,look,season,occasion
b1,"p1,p2,p3,p4,p5,p6,p7,p8","Sophisticated urban style: light beige long loose coat with cropped slim-fit top, soft color palette, clean silhouette, suitable for daily commute",Winter,School
b2,"p9,p10,p11,p12,p13,p14,p15,p16","Vintage collegiate style: dark gray long coat with red turtleneck, paired with plaid mini skirt, plaid elements, vintage collegiate vibe",Winter,Home
b3,"p17,p18,p19,p20,p21,p22,p23,p24","Premium commute style: black long wool coat with minimalist solid-color top, paired with straight-leg trousers, cool-toned minimalist tailoring",Autumn/Winter,Social
b4,"p25,p26,p27,p28,p29","Sophisticated urban style: light khaki trench coat with cropped midriff-baring top, paired with leather mini skirt and knee-high boots, soft color palette, slim-fit silhouette, flattering and elegant",Winter,Travel
b5,"p30,p31,p32,p34","Sweet-cool girl style: light brown long faux fur coat with matching wide-leg trousers, plush texture adds sweetness, wide-leg trousers enhance the cool factor",Winter,School
b6,"p35,p36,p37,p38,p39,p40","Minimalist neutral style: black cropped jacket with black wide-leg trousers, carried with brown shoulder bag, all-black basic style",Winter,Business
b7,"p41,p42,p43,p44,p45","Sophisticated urban style: light khaki cropped jacket with slim-fit knit top, paired with black wide-leg trousers and handbag, minimalist clean low-saturation color scheme, versatile for daily wear",Autumn/Winter,Travel
b8,"p46,p47,p48,p49,p50,p51","Premium commute style: dark brown long wool coat with solid-color top, paired with straight-leg jeans and work handbag, long silhouette suitable for office and casual wear",Winter,Social
b9,"p52,p53,p54,p55,p56,p57","Vintage collegiate style: dark brown long coat with plaid knit top, paired with plaid pleated skirt, slouchy socks, and ankle boots, vintage collegiate vibe",Autumn,Home
b10,"p58,p59,p60,p61,p62,p63,p64","Premium commute style: black long coat with black top, paired with black straight-leg trousers and shoulder bag, all-black minimalist outfit, understated and premium",Winter,Social
b11,"p65,p66,p67,p68,p69,p70,p71","Sophisticated urban style: black oversized down jacket with light gray dress, balancing casual and refined",Autumn/Winter,School
b12,"p72,p73,p74,p75,p76,p77,p78","Sweet-cool girl style: off-white long down jacket with pleated skirt, paired with knee-high socks and platform boots, fluffy down jacket adds sweetness, knee-high socks enhance the girlish look",Winter,Travel
b13,"p79,p80,p81,p82,p83","Sophisticated urban style: off-white cropped jacket with beige maxi skirt, monochromatic styling with soft textures, full of gentle elegance",Winter,Home
b14,"p84,p85,p86,p87,p88","Sweet-cool girl style: white cropped jacket with black maxi skirt, paired with black handbag, contrast color styling with cropped silhouette, sweet yet cool",Autumn/Winter,Social
b15,"p89,p90,p91,p92,p93,p94","Sweet-cool girl style: light gray cropped jacket with black wide-leg trousers, paired with work handbag, short top with long bottoms, flattering and cool",Winter,Travel
b16,"p95,p96,p97,p98,p99,p100","Sophisticated urban style: beige-yellow cropped jacket with brown wide-leg trousers, paired with shoulder bag, warm-toned minimalist tailoring, highly suitable for daily commute",Autumn,School
b17,"p101,p102,p103,p104,p105,p106","Minimalist neutral style: off-white long down jacket with straight-leg trousers, paired with brown handbag, basic style with low-saturation colors",Winter,Home
b18,"p107,p108,p109,p110","Premium commute style: dark brown cropped jacket with black dress, paired with handbag, full of professional refinement",Autumn/Winter,Social
b19,"p111,p112,p113,p114,p115,p116,p117","Premium commute style: light khaki long trench coat with straight-leg trousers, paired with minimalist top and handbag, classic trench coat silhouette with basic styling, for commute",Winter,Business
b20,"p118,p119,p120,p121,p122,p123,p124","Minimalist neutral style: black long coat with black top, paired with black wide-leg trousers and handbag, all-black neutral style, minimalist and premium",Autumn,School
b21,"p125,p126,p127,p128,p129,p130","Sophisticated urban style: tan long coat with matching wide-leg trousers, paired with minimalist top, monochromatic loose silhouette, effortless and premium",Autumn/Winter,Social
b22,"p131,p132,p133,p134,p135,p136","Sophisticated urban style: off-white long coat with black wide-leg trousers, paired with handbag, light-dark contrast with clean silhouette, suitable for daily commute",Winter,Travel
b23,"p137,p138,p139,p140,p141","Denim casual style: black cropped jacket with denim wide-leg trousers, paired with brown shoulder bag, full of casual vibes",Winter,School
b24,"p142,p143,p144,p145","Sweet-cool girl style: white cropped jacket with black maxi skirt, paired with platform boots, short top with long bottoms, sweet-cool balance",Autumn/Winter,Home
b25,"p146,p147,p148,p149,p150,p151","Sweet-cool girl style: black cropped jacket with black mini skirt, paired with slouchy socks and ankle boots, all-black outfit with girlish accessories, cool with a touch of sweetness",Autumn,Travel
b26,"p152,p153,p154,p155,p156","Minimalist neutral style: dark gray cropped jacket with black wide-leg trousers, paired with minimalist top, basic cool-toned style, versatile for daily neutral wear",Winter,Business
