itemID,category,title,gender,style,outline,materials,color,pattern,detail,donning/doffing
p1,outerwear,white long faux shearling coat,Women's,soft lamb wool,loose long fit,sherpa fabric,white,"collared, single-breasted",button closure,"Pull-on style, button closure"
p2,outerwear,navy knit cardigan,Women's,cable-knit,slim cropped fit,knit fabric,navy blue,"cable-knit, V-neck","button design, side logo patch","Cardigan style, adjustable button closure"
p3,inner_top,white pleated shirt,Women's,basic shirt,slim long-sleeve fit,cotton fabric,white,"collared, pleated detail at chest, long-sleeve basic fit, with small decorative logo","pleated chest detail, collar logo patch","Shirt-style, button closure"
p4,bottom,gray high-waisted skirt,Women's,preppy A-line skirt,high-waisted A-line mini skirt fit,structured polyester,gray,"A-line mini, side pockets, with small decorative logo","gathered waist, side logo patch","Easy to wear, adjustable waist"
p5,accessory,black beret,Women's,wool beret,classic beret fit,wool-blend fabric,black,"classic cap style, with small decorative logo on side",side logo patch,"Direct wear, adjustable styling"
p6,bag,black chain shoulder bag,Women's,quilted chain bag,square bag silhouette,leather fabric,black,"quilted diamond pattern, metal chain shoulder strap, flap design, with decorative buckle",metal chain shoulder strap,"Single shoulder carry, snap closure"
p7,accessory,black and white argyle socks,Women's,color-block argyle socks,mid-calf sock fit,cotton-blend fabric,"black, white",black diamond pattern on white base,quilted pattern,Pull-on
p8,shoes,black metal logo loafers,Women's,platform loafers,classic loafer fit,leather fabric,black,"platform sole, metal logo on shoe body",metal logo plaque on toe,Pull-on
p9,outerwear,dark gray long wool coat,Women's,lamb wool jacket,loose long fit,wool-blend fabric,dark gray,"collared, single-breasted",button closure,"Pull-on style, button closure"
p10,outerwear,burgundy knit cardigan,Women's,cable-knit,slim cropped fit,knit fabric,burgundy,"cable-knit, V-neck","button design, side logo patch","Cardigan style, adjustable button closure"
p11,inner_top,white pleated shirt,Women's,basic shirt,slim long-sleeve fit,cotton fabric,white,"collared, long-sleeve basic fit, with small decorative logo","pleated chest detail, collar logo patch","Shirt-style, button closure"
p12,bottom,gray high-waisted skirt,Women's,preppy A-line skirt,high-waisted A-line mini skirt fit,structured polyester,gray,"A-line mini, with small decorative logo","gathered waist, side logo patch","Easy to wear, adjustable waist"
p13,accessory,black beret,Women's,wool beret,classic beret fit,wool-blend fabric,black,"classic cap style, with small decorative logo",side logo patch,"Direct wear, adjustable styling"
p14,bag,black quilted chain shoulder bag,Women's,quilted chain bag,quilted diamond-pattern bag silhouette,leather fabric,black,diamond pattern,metal chain shoulder strap,"Single shoulder/crossbody carry, snap closure"
p15,accessory,dark gray argyle socks,Women's,color-block argyle socks,mid-calf sock fit,cotton-blend fabric,"dark gray, black",diamond pattern,quilted pattern,Pull-on
p16,shoes,black metal logo loafers,Women's,platform loafers,classic loafer fit,leather fabric,black,"platform sole, metal logo on shoe body",metal logo plaque on toe,Pull-on
p17,outerwear,black long wool coat,Women's,minimalist commuter coat,loose long fit,wool-blend fabric,black,"collared + single-breasted, long fit, with small decorative logo",button closure,"Pull-on style, button closure"
p18,mid_layer_top,gray striped knit vest,Women's,preppy V-neck vest,sleeveless vest fit,knit fabric,"gray, pink","V-neck, contrast stripes, cable-knit, with small decorative logo","striped pattern, collar logo patch",Pullover
p19,inner_top,white cropped long-sleeve top,Women's,versatile long-sleeve polo shirt,cropped slim fit,cotton fabric,white,"collared, long-sleeve, cropped slim fit, with small decorative logo",collar logo patch,"Shirt-style, button closure"
p20,bottom,gray high-waisted skirt,Women's,basic preppy A-line skirt,high-waisted A-line mini skirt fit,structured polyester,gray,"A-line mini, with small decorative logo","gathered waist, side logo patch","Easy to wear, adjustable waist"
p21,bag,black quilted chain shoulder bag,Women's,quilted chain bag,quilted diamond-pattern bag silhouette,leather fabric,black,diamond pattern,metal chain shoulder strap,"Single shoulder/crossbody carry, snap closure"
p22,accessory,black beret,Women's,wool beret,classic beret fit,wool-blend fabric,black,classic cap style,side logo patch,"Direct wear, adjustable styling"
p23,accessory,dark gray solid socks,Women's,minimalist plain socks,mid-calf sock fit,cotton-blend fabric,dark gray,mid-calf length,"solid color, no extra embellishment",Pull-on
p24,shoes,black platform loafers,Women's,platform loafers,platform loafer fit,leather fabric,black,"lace-up, platform sole",platform sole,Pull-on
