itemID,category,title,gender,style,outline,materials,color,pattern,detail,donning/doffing
p1,mid_layer_top,basic fleece-lined hooded sweatshirt,Men's,minimalist casual hooded top,loose fit,cotton,heather gray,hooded,"Hooded, with pockets, 400g heavyweight fabric, wrinkle-resistant, regular length, flattering fit, versatile for layering and various occasions",pullover
p2,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p3,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p4,bottom,distressed casual trousers,Men's,vintage casual trousers,straight fit,cotton,brown,straight-leg,"3D paneled construction, vintage topstitching with pocket layout, washed distressed finish, versatile styling, high daily wearability",zipper closure
p5,shoes,mid-top wheat boots,Men's,outdoor casual utility boots,mid-top fit,leather,wheat,work boots,"Shock-absorbing and waterproof, lace-up closure, suitable for outdoor and daily wear, classic yellow boot design",lace-up
p6,mid_layer_top,letter print half-zip hooded sweatshirt,Men's,trendy casual hooded top,loose fit,cotton,navy blue,hooded half-zip,"Distressed washed finish, letter print, half-zip placket, loose fit suitable for layering",half-zip pullover
p7,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p8,bottom,minimalist relaxed premium casual trousers,Men's,minimalist casual trousers,straight fit,cotton,off-white,straight-leg wide-leg,"Mid-rise, loose fit, good drape, suitable for casual, commute, and daily wear",zipper closure
p9,accessory,ribbed knit beanie,Unisex,casual warm knit beanie,form-fitting headwear,knit,navy blue,rib-knit,"Tight ribbed texture, high elasticity fits most head sizes, warm, serves as an accessory to complete the look",closed-toe
p10,shoes,blue pocket Birkenstock-style clogs,Men's,trendy casual slides,flat sole,leather,light blue,denim patchwork,"Denim patchwork design, slide silhouette with buckle detail, casual and trendy, suitable for daily outdoor wear",slip-on
p11,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,black,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p12,inner_top,minimalist solid color versatile long-sleeve T-shirt,Men's,casual basic top,regular fit,cotton,white,crew neck,"Solid color base layer, suitable for layering, can be worn alone with accessories, soft and skin-friendly fabric, regular length",pullover
p13,bottom,zippered multi-pocket cargo pants,Men's,streetwear utility trousers,wide-leg trousers,cotton,earth tone,multi-pocket cargo,"Large 3D cargo pockets, camouflage print, loose fit suitable for layering, functional and trendy",zipper closure
p14,shoes,platform square-toe derby shoes,Men's,vintage trendy casual leather shoes,platform sole,leather,black,platform derby shoes,"Round toe with lace-up design, platform sole for height and anti-slip, leather texture for a refined look, versatile styling",lace-up
p15,mid_layer_top,collared cutout knit sweater,Men's,minimalist casual knit top,loose basic fit,knit,light khaki,collared knit,"Collared design with side cut-out details, soft and skin-friendly fabric, loose fit suitable for solo or layered wear",pullover
p16,mid_layer_top,basic turtleneck knit top,Men's,minimalist casual knit top,loose drop-shoulder fit,cotton,black,turtleneck knit,"High neck for warmth, soft and skin-friendly fabric, loose fit suitable for solo, base layer, or layered wear",pullover
p17,bottom,American vintage distressed curved-leg jeans,Men's,vintage utility trousers,loose straight fit,cotton,black,denim cargo,"Distressed washed finish, side 3D pocket detail, loose fit, vintage and functional",zipper closure
