itemID,title,gender,style,outline,materials,color,pattern,detail,donning、doffing,URL link
p1,圆领卫衣,通用款,休闲运动风卫衣,宽松H型,棉质抓绒面料,纯黑,胸前米色NY刺绣标,罗纹圆领与罗纹袖口、下摆,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=961956406032&mi_id=0000yTet0wHdDs6Gd3Am8-a7jSURY02ZAvTPWMRb7TW-TJs&ns=1&priceTId=2147882a17686407980575139e119c&skuId=6062914754479&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22795b77ea0c9c76f941fe91741bc2a623%22%7D&xxc=taobaoSearch
p2,束脚卫裤,通用款,休闲运动风卫裤,宽松束脚型,棉质抓绒面料,纯黑,裤腿米色NY刺绣标,松紧腰头、侧插袋、罗纹束脚口,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=961956406032&mi_id=0000yTet0wHdDs6Gd3Am8-a7jSURY02ZAvTPWMRb7TW-TJs&ns=1&priceTId=2147882a17686407980575139e119c&skuId=6062914754479&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22795b77ea0c9c76f941fe91741bc2a623%22%7D&xxc=taobaoSearch
p3,老爹鞋,通用款,潮流休闲运动鞋,厚底老爹鞋型,网布、皮革拼接,银黑白撞色,鞋身NY刺绣标、鞋侧NY压印,魔术贴、鞋带双固定,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=944949983324&mi_id=0000cciL7tWpGU4LLfVq-wYceVTCiMqmeCalSbRm7DIDFTw&ns=1&priceTId=2147882a17686408204016465e119c&skuId=6018362327432&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22da4229c8722ec2d779c877b1d559ccef%22%7D&xxc=taobaoSearch
p4,圆领卫衣,通用款,休闲运动风卫衣,宽松H型,棉质抓绒面料,纯黑,胸前白色Yankees椭圆刺绣,肩袖银灰明线装饰、罗纹收口,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=945382378590&mi_id=0000ZoqYbHuVCZlyYdOH4xsv9ViZJt4u0vx9PL1_4-LFN5U&ns=1&priceTId=2147882a17686408367867404e119c&skuId=5850600044966&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%225272ccce25416473e3e8193ba5f3c8ba%22%7D&xxc=taobaoSearch
p5,束脚卫裤,通用款,休闲运动风卫裤,宽松束脚型,棉质抓绒面料,纯黑,裤腿白色Yankees椭圆刺绣,松紧腰头、侧插袋、银灰明线装饰,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=945382378590&mi_id=0000ZoqYbHuVCZlyYdOH4xsv9ViZJt4u0vx9PL1_4-LFN5U&ns=1&priceTId=2147882a17686408367867404e119c&skuId=5850600044966&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%225272ccce25416473e3e8193ba5f3c8ba%22%7D&xxc=taobaoSearch
p6,老爹鞋,通用款,潮流休闲运动鞋,厚底老爹鞋型,网布、皮革拼接,银黑灰撞色,鞋身NY刺绣标、鞋底MLB压印,鞋带固定,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=965950797531&mi_id=0000tZ5IMpWhT2FwbR41xwv4pQnZKk7DukrfpFt16j3h2K4&ns=1&priceTId=2147882a17686408881152495e119c&skuId=6168816175221&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22c81b24a247f6272611a169d8aeb862c8%22%7D&xxc=taobaoSearch
p7,无袖背心,通用款,街头潮流背心,宽松直筒型,棉质面料,浅卡其,胸前黑色Yankees涂鸦印花,无袖宽肩设计,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=889015270099&mi_id=00003TRHB8J8jOeufFaxEBUAkUjr0OGY8Et5bIQk1dVW_3U&ns=1&priceTId=2147882a17686409263474490e119c&skuId=5735526265426&spm=a21n57.imgsearch.item.4&utparam=%7B%22aplus_abtest%22%3A%22b589ea56155dc40d5c991471daf78e17%22%7D&xxc=taobaoSearch
p8,长袖T恤,通用款,休闲基础款T恤,宽松直筒型,棉质面料,纯白,胸前黑色NY刺绣标,罗纹圆领、常规袖口,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=889015270099&mi_id=00003TRHB8J8jOeufFaxEBUAkUjr0OGY8Et5bIQk1dVW_3U&ns=1&priceTId=2147882a17686409263474490e119c&skuId=5735526265426&spm=a21n57.imgsearch.item.4&utparam=%7B%22aplus_abtest%22%3A%22b589ea56155dc40d5c991471daf78e17%22%7D&xxc=taobaoSearch
p9,黑白格纹衬衫,通用款,复古休闲衬衫,宽松oversize型,法兰绒面料,黑白格纹,全身格纹图案,翻领、单排扣、胸袋,系扣式,https://detail.tmall.com/item.htm?abbucket=2&id=853433493321&mi_id=0000Mcpsd3cKY5n-GeM_-DJ5Dn6oDXdoadIT9snOCPzhKBw&ns=1&priceTId=2147882a17686409708577047e119c&skuId=5819922470134&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223df9fc157d5ed1ca0110fdcba4e7cfb3%22%7D&xxc=taobaoSearch
p10,束脚卫裤,通用款,休闲运动风卫裤,宽松束脚型,棉质抓绒面料,浅卡其,裤腿黑色NY刺绣标,松紧腰头、侧插袋、罗纹束脚口,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=889015270099&mi_id=00003TRHB8J8jOeufFaxEBUAkUjr0OGY8Et5bIQk1dVW_3U&ns=1&priceTId=2147882a17686409263474490e119c&skuId=5735526265426&spm=a21n57.imgsearch.item.4&utparam=%7B%22aplus_abtest%22%3A%22b589ea56155dc40d5c991471daf78e17%22%7D&xxc=taobaoSearch
p11,拼色老爹鞋,通用款,潮流休闲运动鞋,厚底老爹鞋型,网布、皮革拼接,灰白黑、浅绿底,鞋身NY魔术贴标,双后跟提环、魔术贴固定,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=986790271668&mi_id=0000acEV2FC_jli9LtS48vGCuiuk5kPV6LlKQ1yFxn3a81E&ns=1&priceTId=2147882a17686409995818505e119c&skuId=5954391337426&spm=a21n57.imgsearch.item.2&utparam=%7B%22aplus_abtest%22%3A%22889831931dffd45a1519c9d98d3182a3%22%7D&xxc=taobaoSearch
p12,拉链连帽卫衣,通用款,休闲运动风卫衣,宽松H型,棉质抓绒面料,纯黑,胸前白色NY刺绣标,全拉链、连帽、侧插袋、罗纹收口,拉链式,https://detail.tmall.com/item.htm?abbucket=2&id=854834953057&mi_id=0000wF2yDuOWU5gbQL5QVVQWEWZ98tIHK6GguqcOFSCtHiE&ns=1&priceTId=2147882a17686410246131997e119c&skuId=5656249060335&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%220b79b9345987c817aba4b20e21481952%22%7D&xxc=taobaoSearch
p13,白色长袖T恤,通用款,休闲基础款T恤,宽松直筒型,棉质面料,纯白,胸前灰色B标涂鸦印花,罗纹圆领、常规袖口,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=889015270099&mi_id=00003TRHB8J8jOeufFaxEBUAkcUdFJlz7cs3ZgqgfdUFU5Y&ns=1&priceTId=2147882a17686410468073267e119c&skuId=5735526265426&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2299f2521402baadd4e08ee4dc5eac1aac%22%7D&xxc=taobaoSearch
p14,束脚卫裤,通用款,休闲运动风卫裤,宽松束脚型,棉质抓绒面料,纯黑,裤腿白色NY刺绣标,松紧腰头、侧插袋、罗纹束脚口,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=854834953057&mi_id=0000wF2yDuOWU5gbQL5QVVQWEWZ98tIHK6GguqcOFSCtHiE&ns=1&priceTId=2147882a17686410246131997e119c&skuId=5656249060335&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%220b79b9345987c817aba4b20e21481952%22%7D&xxc=taobaoSearch
p15,银灰老爹鞋,通用款,潮流休闲运动鞋,厚底老爹鞋型,网布、皮革拼接,银灰白撞色,鞋身NY魔术贴标,双后跟提环、魔术贴固定,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=863877893731&mi_id=0000bclwiWvyqtWASHU8W5O9nkfwY69LN5scWKTlMAOOu-g&ns=1&priceTId=2147882a17686410848025250e119c&skuId=5855006903703&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22927477c4b57d9c316e5dbcfc1b70e2fe%22%7D&xxc=taobaoSearch
p16,粉白菱格背心,女款,复古休闲背心,宽松直筒型,菱格绗缝面料,浅粉、白,全身NY字母提花、胸前NY刺绣标,V领无袖设计,套头式,https://item.taobao.com/item.htm?abbucket=2&id=894126856315&mi_id=0000dDxJfiJAmvkALNhQ4QJDqZIAAJXd1SKGc_gscLGeax0&ns=1&priceTId=2147882a17686411019086187e119c&skuId=5741965088334&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2230208110a0afd7bfe7777196282c60fc%22%7D&xxc=taobaoSearch
p17,粉白短袖T恤,女款,休闲基础款T恤,宽松短款型,棉质面料,浅灰、粉,胸前粉色NY刺绣标、袖口小标,罗纹圆领、短袖,套头式,https://item.taobao.com/item.htm?abbucket=2&id=894126856315&mi_id=0000dDxJfiJAmvkALNhQ4QJDqZIAAJXd1SKGc_gscLGeax0&ns=1&priceTId=2147882a17686411019086187e119c&skuId=5741965088334&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2230208110a0afd7bfe7777196282c60fc%22%7D&xxc=taobaoSearch
p18,粉色百褶裙,女款,甜美学院风半裙,短款百褶型,棉质面料,纯粉,无图案,松紧腰头、百褶设计,穿脱式,https://item.taobao.com/item.htm?abbucket=2&id=894126856315&mi_id=0000dDxJfiJAmvkALNhQ4QJDqZIAAJXd1SKGc_gscLGeax0&ns=1&priceTId=2147882a17686411019086187e119c&skuId=5741965088334&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2230208110a0afd7bfe7777196282c60fc%22%7D&xxc=taobaoSearch
p19,粉白中筒袜,通用款,休闲配饰袜,中筒型,棉质面料,白、粉,袜身粉色NY刺绣标、粉白条纹,罗纹袜口,穿脱式,https://dw4.co/t/A/1u6hinkTi
p20,粉白老爹鞋,女款,潮流休闲运动鞋,厚底老爹鞋型,皮革面料,米白、粉,鞋身粉色Yankees刺绣标,魔术贴、鞋带双固定,穿脱式,https://dw4.co/t/A/1u6jJj2H7
p21,假两件背心,通用款,复古休闲背心,宽松V领型,棉质面料,浅灰、白,全身B标提花、胸前B标刺绣,假两件长袖设计,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=953449306173&mi_id=0000yyHCJQhc7rowW8q9zYU_X20KidVOEJLXB3SjkWaoTrI&ns=1&priceTId=2147819617686422228651780e13a0&skuId=6041718123485&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22562d164cf91b7ea12280167bad101b9d%22%7D&xxc=taobaoSearch
p22,棕色素面卫裤,通用款,休闲运动风卫裤,宽松束脚型,棉质抓绒面料,深棕,裤腿B标刺绣、侧边白条纹,松紧腰头、侧插袋、罗纹束脚口,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=953449306173&mi_id=0000yyHCJQhc7rowW8q9zYU_X20KidVOEJLXB3SjkWaoTrI&ns=1&priceTId=2147819617686422228651780e13a0&skuId=6041718123485&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22562d164cf91b7ea12280167bad101b9d%22%7D&xxc=taobaoSearch
p23,浅色系线条老爹鞋,通用款,潮流休闲运动鞋,厚底老爹鞋型,网布、皮革拼接,浅米、灰,鞋身线条装饰,抽绳鞋带、后跟提环,穿脱式,https://dw4.co/t/A/1u6gY3Yq1
p24,拼色短袖T恤,通用款,休闲潮流T恤,宽松短款型,棉质、尼龙拼接,白、卡其,全身B标提花、胸前B标刺绣,撞色拼接、侧插袋,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=891579948972&mi_id=0000FVq54W9DzP4dOtEeFtw9kcpeNkrekWxy7FC1N6l8eiA&ns=1&priceTId=2147819617686422954925974e13a0&skuId=5801698105220&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22b626c8d54f338eaa0b75a19ac8f9ac7e%22%7D&xxc=taobaoSearch
p25,卡其工装短裤,通用款,休闲工装短裤,宽松直筒型,尼龙面料,卡其,裤腿B标刺绣、侧边黑条纹,松紧腰头、工装口袋,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=891579948972&mi_id=0000FVq54W9DzP4dOtEeFtw9kcpeNkrekWxy7FC1N6l8eiA&ns=1&priceTId=2147819617686422954925974e13a0&skuId=5801698105220&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22b626c8d54f338eaa0b75a19ac8f9ac7e%22%7D&xxc=taobaoSearch
p26,卡其厚底户外老爹鞋,通用款,户外潮流运动鞋,厚底户外型,网布、皮革拼接,卡其、浅棕,鞋身线条装饰,鞋带固定、后跟提环,穿脱式,https://dw4.co/t/A/1u6iWedAV
p27,撞色领短袖T恤,通用款,休闲基础款T恤,宽松直筒型,棉质面料,米白、黑,胸前NY刺绣标,撞色罗纹领、短袖,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=916655979987&mi_id=0000SE1pO9wXKGsdNdOOJmbq8BeCgj1V0PPlgyvkdRmiu4k&ns=1&priceTId=2147819617686423532091418e13a0&skuId=5786700897410&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ca30a456a6d4e1042ab70d0f322f74d8%22%7D&xxc=taobaoSearch
p28,工装短裤,通用款,休闲工装短裤,宽松直筒型,尼龙面料,深黑,裤腿NY刺绣标、明线装饰,松紧腰头、工装口袋,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=916655979987&mi_id=0000SE1pO9wXKGsdNdOOJmbq8BeCgj1V0PPlgyvkdRmiu4k&ns=1&priceTId=2147819617686423532091418e13a0&skuId=5786700897410&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22ca30a456a6d4e1042ab70d0f322f74d8%22%7D&xxc=taobaoSearch
p29,纯白魔术贴板鞋,通用款,休闲基础款板鞋,低帮板鞋型,皮革面料,纯白,无图案,魔术贴、鞋带双固定,穿脱式,https://dw4.co/t/A/1u6gYmmwO
p30,撞色口袋短袖T恤,通用款,休闲基础款T恤,宽松直筒型,棉质面料,米白、棕,胸前B标刺绣、撞色口袋,撞色罗纹领、短袖,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=891578112017&mi_id=0000zh2CHsHx4ZbaddPB-iR755v21xtx98XPfKtHA42Usus&ns=1&priceTId=2147819617686424212835310e13a0&skuId=5736256024780&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22683ce9a2c61aab833cd8916f9c00cafb%22%7D&xxc=taobaoSearch
p31,棕格纹工装短裤,通用款,休闲工装短裤,宽松直筒型,尼龙面料,深棕,全身B标格纹、裤腿B标刺绣,松紧腰头、工装口袋,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=891578112017&mi_id=0000zh2CHsHx4ZbaddPB-iR755v21xtx98XPfKtHA42Usus&ns=1&priceTId=2147819617686424212835310e13a0&skuId=5736256024780&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22683ce9a2c61aab833cd8916f9c00cafb%22%7D&xxc=taobaoSearch
p32,棕白中筒袜,通用款,休闲配饰袜,中筒型,棉质面料,白、棕,袜身B标刺绣、棕白条纹,罗纹袜口,穿脱式,https://dw4.co/t/A/1u6i9OR39
p33,户外老爹鞋,通用款,户外潮流运动鞋,厚底户外型,网布、皮革拼接,米白、藏蓝,鞋身NY刺绣标,抽绳鞋带、后跟提环,穿脱式,https://dw4.co/t/A/1u6jLUpQi
p34,假两件卫衣,通用款,休闲运动风卫衣,宽松H型,棉质抓绒面料,黑、白,胸前NY涂鸦印花、袖口小标,假两件下摆、罗纹收口,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=868611150636&mi_id=0000qatVEtlFIvJN1No7o6DgRt8r0oRdwUIMiaPurHmqRUE&ns=1&priceTId=2147819617686425298723995e13a0&skuId=5865575867400&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%224cd6e76b1a5a98c94d3ab5a5645baba9%22%7D&xxc=taobaoSearch
p35,黑底卫裤,通用款,休闲运动风卫裤,宽松束脚型,棉质抓绒面料,纯黑,裤腿Yankees涂鸦印花,松紧腰头、侧插袋、罗纹束脚口,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=868611150636&mi_id=0000qatVEtlFIvJN1No7o6DgRt8r0oRdwUIMiaPurHmqRUE&ns=1&priceTId=2147819617686425298723995e13a0&skuId=5865575867400&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%224cd6e76b1a5a98c94d3ab5a5645baba9%22%7D&xxc=taobaoSearch
p36,银黑老爹鞋,通用款,潮流休闲运动鞋,厚底老爹鞋型,网布、皮革拼接,银灰、黑,鞋身MLB字母装饰,抽绳鞋带、后跟提环,穿脱式,https://dw4.co/t/A/1u6iXyQKq
p37,撞色领短袖T恤,通用款,休闲基础款T恤,宽松直筒型,棉质面料,米白、藏蓝,胸前B标刺绣,撞色罗纹领、短袖,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=917967488373&mi_id=0000PYFdp_E2Ttzd8jIk0hTVMQTEqgLLpPYyqrFxc91h9x0&ns=1&priceTId=2147819617686426060188890e13a0&skuId=5784904636957&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22b3652e70a0d308e3f05551a08b2c5ec2%22%7D&xxc=taobaoSearch
p38,藏蓝工装短裤,通用款,休闲工装短裤,宽松直筒型,棉质面料,藏蓝,裤腿B标刺绣、明线装饰,松紧腰头、侧插袋,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=917967488373&mi_id=0000PYFdp_E2Ttzd8jIk0hTVMQTEqgLLpPYyqrFxc91h9x0&ns=1&priceTId=2147819617686426060188890e13a0&skuId=5784904636957&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22b3652e70a0d308e3f05551a08b2c5ec2%22%7D&xxc=taobaoSearch
p39,米白户外凉鞋,通用款,户外休闲凉鞋,厚底凉鞋型,网布、皮革拼接,米白、浅绿,鞋身NY刺绣标,魔术贴固定、后跟提环,穿脱式,https://dw4.co/t/A/1u6jMDfGX
p40,兔子印花T恤,通用款,童趣休闲T恤,宽松直筒型,棉质面料,米白、紫,后背兔子、Yankees印花,撞色罗纹领、短袖,套头式,https://detail.tmall.com/item.htm?abbucket=2&id=917967488373&mi_id=0000PYFdp_E2Ttzd8jIk0hTVMQTEqgLLpPYyqrFxc91h9x0&ns=1&priceTId=2147819617686426060188890e13a0&skuId=5784904636957&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22b3652e70a0d308e3f05551a08b2c5ec2%22%7D&xxc=taobaoSearch
p41,浅紫短裤,通用款,休闲基础款短裤,宽松直筒型,棉质面料,浅紫,裤腿NY刺绣标,松紧腰头、侧插袋,穿脱式,https://detail.tmall.com/item.htm?abbucket=2&id=917967488373&mi_id=0000PYFdp_E2Ttzd8jIk0hTVMQTEqgLLpPYyqrFxc91h9x0&ns=1&priceTId=2147819617686426060188890e13a0&skuId=5784904636957&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22b3652e70a0d308e3f05551a08b2c5ec2%22%7D&xxc=taobaoSearch
p42,浅紫网面凉鞋,通用款,休闲凉鞋,露趾凉鞋型,网布、合成革,浅紫、白,无图案,魔术贴固定,穿脱式,https://dw4.co/t/A/1u6gz6UH8
