outfitID,items,look,season,occasion,URL link
b1,"p1,p2,p3,p4,p5,p6,p7,p8",轻熟都市风：浅米色长款宽松大衣配短款修身内搭，柔和色系，利落版型，适配日常通勤,冬,校园,https://item.taobao.com/item.htm?from=cart&id=692096023269&mi_id=00001vwoK_uhxE23sQ432NPNyOMq77eJNYjLZXZblwlscKI&spm=a1z0d.6639537%2F202410.item.d692096023269.6e6c7484dp35Oz
b2,"p9,p10,p11,p12,p13,p14,p15,p16",复古学院风：深灰长款大衣配红色高领内搭，搭配格纹短裙，格纹元素，复古学院氛围感,冬,居家,https://item.taobao.com/item.htm?from=cart&id=692096023269&mi_id=00001vwoK_uhxE23sQ432NPNyOMq77eJNYjLZXZblwlscKI&spm=a1z0d.6639537%2F202410.item.d692096023269.6e6c7484dp35Oz
b3,"p17,p18,p19,p20,p21,p22,p23,p24","高级通勤风：黑色长款毛呢大衣搭简约纯色内搭,配直筒西装裤,冷色调极简剪裁",秋冬,社交,https://item.taobao.com/item.htm?id=692149898933&mi_id=00004QhlyANbTVycdIoXB3H-bRRTqW2BNoJDJoTD_2RuS74&sku_properties=1627207%3A28341&spm=a21xtw.29978518.0.0&xxc=shop
b4,"p25,p26,p27,p28,p29",轻熟都市风：浅卡其风衣搭短款露腰上衣，配皮质短裙长靴，温柔色系，修身版型，显高又显气质,冬,出行,https://item.taobao.com/item.htm?id=988375035524&mi_id=0000-zJN746PCdztxy4su-Zu6CDhJ3EMBM_pLLOvpoWAPVU&spm=a21xtw.29178619.0.0&xxc=shop
b5,"p30,p31,p32,p34",甜酷少女风：浅棕色毛绒长款外套配同色系阔腿裤，毛绒质感增加甜感，阔腿裤强化酷感,冬,校园,https://item.taobao.com/item.htm?id=989698269052&mi_id=0000apFWJi_uOdAfhItwHnR8BwBDpPixMjZay8xbxYRcaUA&spm=a21xtw.29978518.0.0&xxc=shop&sku_properties=20509%3A84497
b6,"p35,p36,p37,p38,p39,p40",极简中性风：黑色短款外套配黑色阔腿裤，手提棕色腋下包，全黑基础款,冬,商务,https://item.taobao.com/item.htm?contentSetId=-1&from=cart&id=855294163491&mi_id=0000Rjl3RbQ1KMNE9axEhuf9YuJ35DqE9c-aoMtbyaU5ADo&singleUseCache=true&skuId=5828653887535&spm=a1z0d.6639537%2F202410.item.d855294163491.6e6c7484hYMJox&upStreamPrice=39500
b7,"p41,p42,p43,p44,p45",轻熟都市风：浅卡其短款外套配修身针织内搭，搭黑色阔腿裤手提包，简约利落低饱和配色，日常百搭,秋冬,出行,https://item.taobao.com/item.htm?contentSetId=-1&from=cart&id=855294163491&mi_id=0000Rjl3RbQ1KMNE9axEhuf9YuJ35DqE9c-aoMtbyaU5ADo&singleUseCache=true&skuId=5828653887535&spm=a1z0d.6639537%2F202410.item.d855294163491.6e6c7484hYMJox&upStreamPrice=39500
b8,"p46,p47,p48,p49,p50,p51",高级通勤风：深棕长款毛呢大衣搭纯色内搭，配直筒牛仔裤通勤手提包，长款版型适配职场休闲,冬,社交,https://item.taobao.com/item.htm?contentSetId=-1&from=cart&id=737811300015&isabs=detail&mi_id=0000WSbvdhQ1XQT1Lh8ff-T8MasYhFP-ShA9ojOA_SEIoPo&singleUseCache=true&spm=a1z0d.6639537%2F202410.item.d737811300015.6e6c7484nWPMso
b9,"p52,p53,p54,p55,p56,p57",复古学院风：深棕长款大衣配格纹针织内搭，搭格纹百褶裙堆堆袜短靴，复古学院氛围,秋,居家,https://item.taobao.com/item.htm?contentSetId=-1&from=cart&id=737811300015&isabs=detail&mi_id=0000WSbvdhQ1XQT1Lh8ff-T8MasYhFP-ShA9ojOA_SEIoPo&singleUseCache=true&spm=a1z0d.6639537%2F202410.item.d737811300015.6e6c7484nWPMso
b10,"p58,p59,p60,p61,p62,p63,p64",高级通勤风：黑色长款大衣配黑色内搭，搭黑色直筒裤腋下包，全黑极简搭配，低调又高级,冬,社交,https://item.taobao.com/item.htm?id=737811300015&mi_id=0000K12dZJF8JV1W-IRj6SP5yjA-VIAOoqUrtWYKIyh1zM8&spm=a21xtw.29978518.0.0&xxc=shop
