itemID,title,gender,style,outline,materials,color,pattern,detail,donningdoffing,URL link
p1,基础连帽加绒卫衣,男款,简约休闲连帽上衣,宽松版型,棉质面料,花灰色,连帽款,连帽造型，带口袋，400g重磅面料，抗皱，常规衣长，对身材包容度高，便于叠穿适配多场景,套头式,https://detail.tmall.com/item.htm?ali_refid=a3_430582_1006%3A1643570027%3AH%3Aeog7kDZb21lBUlJ%2BwiMlEg%3D%3D%3Afcc12981d322cd1b1c2df047e2d81406&ali_trackid=318_fcc12981d322cd1b1c2df047e2d81406&id=990144110026&mi_id=0000wZWI429kbHHjrQ71YqjkgAAziDxj31qoWYrXm0hh7Yg&mm_sceneid=0_0_2884080011_0&priceTId=214786d817661276788934629e1376&skuId=5959804593412&spm=a21n57.1.hoverItem.1&utparam=%7B%22aplus_abtest%22%3A%22331929a5a53378336363629d2d53b770%22%7D&xxc=ad_ztc
p2,简约纯色百搭长袖T恤,男款,休闲风基础上衣,标准型,棉质面料,黑色,圆领款,纯色打底，适配风格叠穿，可单穿搭配配饰，面料舒适亲肤，常规衣长,套头式,https://detail.tmall.com/item.htm?id=962484996036&pisk=gMGrYP_04QdzPo-i7VVegTX5BXU7LW-6zXZQ-203PuqkvUU3T0i0K6gWee8U0DE7F7D7-6obcD1IPXkATV3KNUFBy7389Wx6fCiEy4FdNWzM1bRciP0ctgfkhSAnRHjDfCOsuL48OqxsFHclYra3tz23EIY4Wyjut84uoEz3RgXhZD0DuoUCra43Eqj0RPButT43nr48Sabu-WqcnoU3tam3tEP0DyV3xDVn1Z3o-sz_EEhqI89ONSyzj4qV_qh4rrW-zoWlUjk4Olc_06fngz3F1AER_pZiBuw_qmAfaWu080ZjjCf4iRktRyoya_VSnxh8NjtNW8oU2Rcb3Cj4kx0SKbnP864-NfwUX-8h9JNm1RDi4wLto74nvRhBX_Eo-VhtC5RfE50qKckF4djLoFFt9K2VL84YulT2uWFJAoev1zofp9e06rr6Pz6dp8mYulT2Q9BLewU4fUsC.&spm=pc_detail.30350276.202205.1.2a9a7dd662mIEM
p3,简约纯色百搭长袖T恤,男款,休闲风基础上衣,标准型,棉质面料,白色,圆领款,纯色打底，适配风格叠穿，可单穿搭配配饰，面料舒适亲肤，常规衣长,套头式,https://detail.tmall.com/item.htm?id=962484996036&pisk=gMGrYP_04QdzPo-i7VVegTX5BXU7LW-6zXZQ-203PuqkvUU3T0i0K6gWee8U0DE7F7D7-6obcD1IPXkATV3KNUFBy7389Wx6fCiEy4FdNWzM1bRciP0ctgfkhSAnRHjDfCOsuL48OqxsFHclYra3tz23EIY4Wyjut84uoEz3RgXhZD0DuoUCra43Eqj0RPButT43nr48Sabu-WqcnoU3tam3tEP0DyV3xDVn1Z3o-sz_EEhqI89ONSyzj4qV_qh4rrW-zoWlUjk4Olc_06fngz3F1AER_pZiBuw_qmAfaWu080ZjjCf4iRktRyoya_VSnxh8NjtNW8oU2Rcb3Cj4kx0SKbnP864-NfwUX-8h9JNm1RDi4wLto74nvRhBX_Eo-VhtC5RfE50qKckF4djLoFFt9K2VL84YulT2uWFJAoev1zofp9e06rr6Pz6dp8mYulT2Q9BLewU4fUsC.&spm=pc_detail.30350276.202205.1.2a9a7dd662mIEM
p4,省位做旧休闲裤,男款,复古风休闲裤,直筒型,棉质面料,咖色,直筒款,立体拼接剪裁，复古车线口袋布局，水洗做旧工艺，适配多元风格穿搭，日常可塑性强,拉链式,https://detail.tmall.com/item.htm?id=989344883271&pisk=gFRnc7YEspWBT_qZiu5ILZX8MMsu9615q3FR2_IrQGS6wpI-db0ljEWKR3KJIgxwjM8d22OkIHTVp3YSRaSy43jJpAhvRe15amCoMjLQcr6QvHXzLNuPkwyEW9ydaE0VamnxZRUNdDCyJQwYgd8NfabPzg-z_O7dbayFa3SNQZ7YY_5y4VXNkwPzTa7UQGS1-uzFYg7a7w_5zkWe41uGlZZPa_-P_Vb5bg5PaXi4aiAy1CoRbBhwWwrWQwXh0eSeJeOaIteBuGjVAQbHSyLCjAH9swXhDTP_fkAeXURpOOMzE_T9n3vyVxe1tUJFTZLIt5f28ddlWQ38EM-BsFRdIrFAtL-BZ993PqTNTh9fc9ksfNApMTjfIloeWFjFnLxKf7SpnF-GHCETM_t6U37kbkjr1RyqeOF7-sa3F86F5NjAsmXgVwHs-U0iS-MCLN_KDV0gF06F5NftSV2Vf971JFC..&spm=pc_detail.30350276.202205.4.76037dd6aqY2zz&sku_properties=1627207%3A4168285
p5,中帮大黄靴,男款,户外休闲工装靴,中帮版型,皮质面料,小麦色,工装靴款,具备减震、防水功能，系带闭合，适配户外及日常场景，经典大黄靴设计,系带式,https://item.taobao.com/item.htm?abbucket=18&id=742911933003&mi_id=0000zp3o_Oa-yzBCdVDHeCr_b9JUYvZXe3EtnkgilWtOpqQ&ns=1&priceTId=2150491c17661290967495992e1193&skuId=6112694914532&spm=a21n57.imgsearch.item.4&utparam=%7B%22aplus_abtest%22%3A%2270e0f51a0126a9b48048f79a5941d39e%22%7D&xxc=taobaoSearch
p6,字母印花半拉链连帽卫衣,男款,潮流休闲连帽上衣,宽松版型,棉质面料,藏青色,连帽半拉链款,做旧水洗工艺，字母印花装饰，半拉链门襟，版型宽松适配叠穿,半拉链套头式,https://detail.tmall.com/item.htm?abbucket=18&id=982378605939&mi_id=0000LlqVvd8hCpD9PYRhp-ly7hMmbr-7aR_odyaafmeyND0&ns=1&priceTId=214786d817661276788934629e1376&skuId=5940487964030&spm=a21n57.1.hoverItem.2&utparam=%7B%22aplus_abtest%22%3A%229293e672b8cbcd959c307c5ea9958248%22%7D&xxc=taobaoSearch
p7,简约纯色百搭长袖T恤,男款,休闲风基础上衣,标准型,棉质面料,白色,圆领款,纯色打底，适配风格叠穿，可单穿搭配配饰，面料舒适亲肤，常规衣长,套头式,https://detail.tmall.com/item.htm?id=962484996036&pisk=gMGrYP_04QdzPo-i7VVegTX5BXU7LW-6zXZQ-203PuqkvUU3T0i0K6gWee8U0DE7F7D7-6obcD1IPXkATV3KNUFBy7389Wx6fCiEy4FdNWzM1bRciP0ctgfkhSAnRHjDfCOsuL48OqxsFHclYra3tz23EIY4Wyjut84uoEz3RgXhZD0DuoUCra43Eqj0RPButT43nr48Sabu-WqcnoU3tam3tEP0DyV3xDVn1Z3o-sz_EEhqI89ONSyzj4qV_qh4rrW-zoWlUjk4Olc_06fngz3F1AER_pZiBuw_qmAfaWu080ZjjCf4iRktRyoya_VSnxh8NjtNW8oU2Rcb3Cj4kx0SKbnP864-NfwUX-8h9JNm1RDi4wLto74nvRhBX_Eo-VhtC5RfE50qKckF4djLoFFt9K2VL84YulT2uWFJAoev1zofp9e06rr6Pz6dp8mYulT2Q9BLewU4fUsC.&spm=pc_detail.30350276.202205.1.2a9a7dd662mIEM
p8,简约松弛高级风休闲裤,男款,简约休闲长裤,直筒型,棉质面料,米白色,直筒阔腿款,中腰设计，版型宽松不紧绷，垂坠感佳，适配休闲、通勤等日常场景,拉链式,https://detail.tmall.com/item.htm?abbucket=18&id=999004372905&mi_id=0000KvfAnBOn3eLaKU1v5MnJZ6Ii_Y-ecv5Bu0tHPbWqOsk&ns=1&priceTId=2147811517669274895824110e18a8&skuId=5981401817493&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22a86e141fbf99a7ac0e308f72dcca741f%22%7D&xxc=taobaoSearch
p9,针织罗纹毛线帽,通用款,休闲保暖针织帽,贴合头型款,针织面料,藏青色,罗纹针织款,紧密罗纹纹理，弹性佳适配多数头围，保暖性强，作为配饰提升造型完整度,包头款,https://item.taobao.com/item.htm?abbucket=18&id=994157020805&mi_id=0000IBK0ITU8UqvJZPNHzfAJmlNOt4g43BaEh1EDnzflOlc&ns=1&priceTId=215048fa17661298114467211e1176&skuId=6133830295821&spm=a21n57.1.hoverItem.34&utparam=%7B%22aplus_abtest%22%3A%22b7e6c2c9591b860418066c3da624ac6c%22%7D&xxc=taobaoSearch
p10,蓝色口袋勃肯鞋,男款,潮流休闲拖鞋,平底款,皮质面料,浅蓝色,牛仔拼接款,牛仔面料拼接设计，拖鞋版型搭配搭扣装饰，兼具休闲感与潮流属性，适合日常外穿,一脚蹬,https://item.taobao.com/item.htm?abbucket=18&id=837123215330&mi_id=000085JpIT2hL5pb73WMEo2pSNWb0tPGJeleIDFuaAgSKxw&ns=1&priceTId=213e099317661296514414104e11f5&skuId=5763889734623&spm=a21n57.imgsearch.item.3&utparam=%7B%22aplus_abtest%22%3A%22cf54f4ee14baf5081e2e7253ef435b30%22%7D&xxc=taobaoSearch
p11,简约纯色百搭长袖T恤,男款,休闲风基础上衣,标准型,棉质面料,黑色,圆领款,纯色打底，适配风格叠穿，可单穿搭配配饰，面料舒适亲肤，常规衣长,套头式,https://detail.tmall.com/item.htm?id=962484996036&pisk=gMGrYP_04QdzPo-i7VVegTX5BXU7LW-6zXZQ-203PuqkvUU3T0i0K6gWee8U0DE7F7D7-6obcD1IPXkATV3KNUFBy7389Wx6fCiEy4FdNWzM1bRciP0ctgfkhSAnRHjDfCOsuL48OqxsFHclYra3tz23EIY4Wyjut84uoEz3RgXhZD0DuoUCra43Eqj0RPButT43nr48Sabu-WqcnoU3tam3tEP0DyV3xDVn1Z3o-sz_EEhqI89ONSyzj4qV_qh4rrW-zoWlUjk4Olc_06fngz3F1AER_pZiBuw_qmAfaWu080ZjjCf4iRktRyoya_VSnxh8NjtNW8oU2Rcb3Cj4kx0SKbnP864-NfwUX-8h9JNm1RDi4wLto74nvRhBX_Eo-VhtC5RfE50qKckF4djLoFFt9K2VL84YulT2uWFJAoev1zofp9e06rr6Pz6dp8mYulT2Q9BLewU4fUsC.&spm=pc_detail.30350276.202205.1.2a9a7dd662mIEM
p12,简约纯色百搭长袖T恤,男款,休闲风基础上衣,标准型,棉质面料,白色,圆领款,纯色打底，适配风格叠穿，可单穿搭配配饰，面料舒适亲肤，常规衣长,套头式,https://detail.tmall.com/item.htm?id=962484996036&pisk=gMGrYP_04QdzPo-i7VVegTX5BXU7LW-6zXZQ-203PuqkvUU3T0i0K6gWee8U0DE7F7D7-6obcD1IPXkATV3KNUFBy7389Wx6fCiEy4FdNWzM1bRciP0ctgfkhSAnRHjDfCOsuL48OqxsFHclYra3tz23EIY4Wyjut84uoEz3RgXhZD0DuoUCra43Eqj0RPButT43nr48Sabu-WqcnoU3tam3tEP0DyV3xDVn1Z3o-sz_EEhqI89ONSyzj4qV_qh4rrW-zoWlUjk4Olc_06fngz3F1AER_pZiBuw_qmAfaWu080ZjjCf4iRktRyoya_VSnxh8NjtNW8oU2Rcb3Cj4kx0SKbnP864-NfwUX-8h9JNm1RDi4wLto74nvRhBX_Eo-VhtC5RfE50qKckF4djLoFFt9K2VL84YulT2uWFJAoev1zofp9e06rr6Pz6dp8mYulT2Q9BLewU4fUsC.&spm=pc_detail.30350276.202205.1.2a9a7dd662mIEM
p13,拉链多口袋工装裤,男款,街头工装休闲长裤,阔腿裤,棉质面料,泥土色,多口袋工装款,大尺寸立体工装口袋，迷彩印花装饰，版型宽松适配叠穿，兼具功能性与潮流感,拉链式,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1643570027%3AH%3AhUDOQaT0kv72qiOyLZSUCg%3D%3D%3Add38602681de26fb2bfac459ee307820&ali_trackid=318_dd38602681de26fb2bfac459ee307820&id=981036648302&mi_id=0000st7aWYPZLr4Y5U8e6ILzDDwOV7PzTkR1j3nb2FOW_rg&mm_sceneid=0_0_2884080011_0&priceTId=214786d817661276788934629e1376&skuId=5936527752974&spm=a21n57.1.hoverItem.4&utparam=%7B%22aplus_abtest%22%3A%22b72bce23aeecd1c323a5190cb9bce376%22%7D&xxc=ad_ztc
p14,厚底休闲方头增高德比鞋,男款,复古潮流休闲皮鞋,厚底版型,皮质面料,黑色,厚底德比鞋款,圆头系带设计，厚底增高且防滑，皮革质感提升造型精致度，适配多种风格,系带式,https://item.taobao.com/item.htm?abbucket=18&id=974457497463&mi_id=0000t6uxgTbkWlv7RmFoYh1PSHuoLOJ3vOy8HauDZ1CbdR4&ns=1&priceTId=2147863817661315844773300e12dc&skuId=6142927614958&spm=a21n57.imgsearch.item.9&utparam=%7B%22aplus_abtest%22%3A%2255ac7337654a9a851067f02272277397%22%7D&xxc=taobaoSearch
p15,翻领镂空针织毛衣,男款,简约休闲针织上衣,宽松基础版型,针织面料,浅卡其色,翻领针织款,翻领设计搭配侧边镂空细节，面料柔软亲肤，版型宽松适配单穿叠穿,套头式,https://detail.tmall.com/item.htm?abbucket=18&id=986562099485&mi_id=0000Ptb1yXdnEFP6x7yN-zp81lm1eQ9D6BW8CKgXyOCTWnM&ns=1&priceTId=214786d817661276788934629e1376&skuId=5951368424424&spm=a21n57.1.hoverItem.11&utparam=%7B%22aplus_abtest%22%3A%223f7ca5551dab7c95593cce2317654f38%22%7D&xxc=taobaoSearch
p16,高领基础款针织衫,男款,简约休闲针织上衣,宽松落肩版型,棉质面料,黑色,高领针织款,高领设计保暖性强，面料柔软亲肤，版型宽松适配单穿内搭叠穿,套头式,https://detail.tmall.com/item.htm?abbucket=13&id=984256838306&pisk=gXF-EAf0Fijkcg5fXQXcxI_CdbOK9t4yquz6tDmkdoEY2uToryi39XE4cvNoZzqvzSE9tQjPUyOKtXsGj1fgzalEOGA3B3ZB4V0tP60IVIGr-ANzjlCgzzoeyH_gh1fpgbiPdpiQAjMj-4hBNXi5kjgZyXOSdQajcmuIOXMBFq9j549BF295ksgr529SRBiXl2gBdXGQAr_x8mgIOXZQlZ3EssjKcUiH9845Z_h2HbABOS3-ht4Sc82P-4MR5znXOGNxyco_PmdBtcajK04YrgdaobP8XVqlGQET7Srxll1dDXr4dkgLc1-naRqz_xUVCIaqwmksl5_HQmVxqkN-hNAtKjNiCbwc3gDnwVEQauLpOla0S7k49GKjY80ZGV4PwIh_P2sz45VTDexMA1J5kZpeLYgVMscZQaaH_h3xjaCpLpkVuqnGknpeLYMZkcb0-pJE3l5..&rn=f22888bd435b70c291b991f95dd2d3da&spm=a1z10.3-b.w4011-24355111524.50.31004542oS7zdr
p17,美式复古做旧弯刀牛仔裤,男款,复古工装休闲裤,宽松直筒版型,棉质面料,黑色,工装牛仔款,做旧水洗工艺，侧边立体口袋装饰，版型宽松兼具复古感与实用性,拉链式,https://detail.tmall.com/item.htm?id=969022902265&pisk=gAKjcqcyHSVjcCkx6SkzNtFQ_CQdXYoElR69KdE4BiIACl9H1KSwB1-1fQARWnS23Qi6KB_VWh5wf-xWOlrqiqvTfGStTXoEYKDcjGheN_9nTSXhhOnNBlBRmOJf3XZ-YKvcs-NtLUnEfuj4OVC96ZQRytf8XPI96aQRQ_EABoBTwY6GwGUYkNQRe96aXPdTkznRIOWTHGQOyzBFwtIOkGE-FOfRHGI96LH5IfP7dOgfiKMUdFz2uVmw9_ZTX36-s69jFkXvDtZP_LCS9utWtZ1pH_ZZgbbFr11kvbuWEITvgTAsAbsMZFdOCQF-_Zv9PQ6XgXNG_nv2fsJjkjJ5qsOO5UcQYts2PwtXoAVJHB5XJivadjJ5RU_heae_ki8eLhbpDmNhawX6g_RKvusRWgJ8Y66h8P6t_l65TYM7SPcx-DXErTYnHZBlhakSFSLGkTXWLYM7SmbAETPqFYNxn&spm=pc_detail.30350276.202205.2.34a4f623Ac6el7&sku_properties=1627207%3A28341
p18,针织纹理渔夫帽,通用款,休闲装饰渔夫帽,贴合头型款,棉质面料,浅卡其色,针织渔夫帽款,细密针织纹理，帽型挺括，适配多数头围，作为配饰提升造型层次感,直接佩戴,https://detail.tmall.com/item.htm?abbucket=18&id=826150803474&mi_id=0000pF20Pde1MMXE5tG7vlz1Gx3jn1ALOKagFdqzu_DEogA&ns=1&priceTId=2150430217661323193643811e18ea&skuId=5548027988232&spm=a21n57.imgsearch.item.31&utparam=%7B%22aplus_abtest%22%3A%22f552e1d514b5f2ca2f73734d922b2b3d%22%7D&xxc=taobaoSearch
p19,豹纹奶牛纹勃肯拖鞋,男款,潮流休闲拖鞋,松糕底款,皮质面料,豹纹色,搭扣厚底款,豹纹印花装饰，搭扣设计增强造型感，厚底增高且舒适，适合日常外穿,一脚蹬,https://item.taobao.com/item.htm?abbucket=18&id=800677121693&mi_id=0000rdz8wkz_3ecZ64h81i0lgt36cM8_b85wrzpiZj7Vmy8&ns=1&priceTId=214785f217661319854435093e1032&skuId=5852788196205&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223fda6176ed803e3f3f81ea016a9dfc05%22%7D&xxc=taobaoSearch
p20,做旧水洗牛仔外套,男款,复古休闲牛仔夹克,宽松版型,牛仔面料,黄泥色,牛仔夹克款,做旧水洗工艺，翻领单排扣设计，版型宽松适配叠穿，兼具复古与休闲属性,纽扣式,https://detail.tmall.com/item.htm?abbucket=18&id=971105763100&mi_id=0000-dl73ZfnVQpRkvnvMUDCFzCS7DBLJgF80ynmvfYLcl8&ns=1&priceTId=214786d817661276788934629e1376&skuId=6089113131407&spm=a21n57.1.hoverItem.36&utparam=%7B%22aplus_abtest%22%3A%225c00ccad5c010c78faa91ed41c56e280%22%7D&xxc=taobaoSearch
p21,做旧格纹拼接口袋衬衫,男款,复古休闲长袖衬衫,宽松版型,棉质面料,咖啡格,格纹衬衫款,格纹肌理搭配贴袋拼接设计，版型宽松适配单穿叠穿，兼具复古与休闲属性,纽扣式,https://detail.tmall.com/item.htm?abbucket=13&id=968503331440&pisk=gVbZEbcHQPUaVxHQ59L48cmnFCO68EySQZ9XisfD1dvGcZaDop5kf5BfhMJVK9JG3sF9iKXc3Ks_Az1O6EL0FEz7P1CWNBxhQCv0-SAJNKVBjKJL7yL0F8aqAXxTCEf1Xt5dxDAJKCADjqVeKQRMoCADIWJHgQpmStY0TWR2MA0MIVYHxCOwofAmo2fHiI3MsKvctWRvKKYDotY3TIpHnEYm1G1Gi2RWjWQUqBvidd-wE1vEz6QesImO_puIJwSebLbWLq0c8CCc3spxzo9l2dtWI94I7E5HgO9CEz0e-3SRGIWa7VY1xMQ95wwrwhW2B3bBYzDe9Mf1mNBZgqAO5at2eHPmknThP3jlQjFRtFAcH3QbeVpGi_QRVUzIjUfFmTSV4hHvt7LRkkxE0hApTLNUTELThpB_ytNiDmKHyBJ71CixDhXpTLNU4mnvXjdeF5Mf.&rn=88d4cf902ecdf17ce0fc01fc0b3c102c&spm=a1z10.3-b.w4011-24355111524.59.9cbe4542Fsd2lt
