itemID,category,title,gender,style,outline,materials,color,pattern,detail,donning/doffing
p1,mid_layer_top,crewneck sweatshirt,Unisex,casual athletic sweatshirt,loose H-line,cotton fleece,solid black,Beige NY embroidery on chest,"Ribbed crew neck, ribbed cuffs and hem",pullover
p2,bottom,jogger pants,Unisex,casual athletic joggers,loose jogger fit,cotton fleece,solid black,Beige NY embroidery on leg,"Elastic waistband, side slip pockets, ribbed cuffs",slip-on
p3,shoes,dad sneakers,Unisex,trendy casual sneakers,chunky dad sneaker silhouette,mesh and leather paneling,"silver, black, and white colorblock","NY embroidery on upper, NY debossed logo on side",Hook-and-loop and lace-up closure,slip-on
p4,mid_layer_top,crewneck sweatshirt,Unisex,casual athletic sweatshirt,loose H-line,cotton fleece,solid black,White Yankees oval embroidery on chest,"Silver-grey topstitching on shoulders and sleeves, ribbed cuffs",pullover
p5,bottom,jogger pants,Unisex,casual athletic joggers,loose jogger fit,cotton fleece,solid black,White Yankees oval embroidery on leg,"Elastic waistband, side slip pockets, silver-grey topstitching",slip-on
p6,shoes,dad sneakers,Unisex,trendy casual sneakers,chunky dad sneaker silhouette,mesh and leather paneling,"silver, black, and gray colorblock","NY embroidery on upper, MLB debossed logo on sole",Lace-up closure,slip-on
p7,inner_top,sleeveless tank top,Unisex,streetwear tank top,loose straight-leg,cotton fabric,light khaki,Black Yankees graffiti print on chest,Sleeveless wide-shoulder design,pullover
p8,inner_top,long-sleeve T-shirt,Unisex,casual basic T-shirt,loose straight-leg,cotton fabric,solid white,Black NY embroidery on chest,"Ribbed crew neck, regular cuffs",pullover
p9,inner_top,black and white plaid shirt,Unisex,vintage casual shirt,oversized fit,flannel,black and white plaid,All-over plaid pattern,"Collared, single-breasted, chest pocket",button-up
p10,bottom,jogger pants,Unisex,casual athletic joggers,loose jogger fit,cotton fleece,light khaki,Black NY embroidery on leg,"Elastic waistband, side slip pockets, ribbed cuffs",slip-on
p11,shoes,colorblock dad sneakers,Unisex,trendy casual sneakers,chunky dad sneaker silhouette,mesh and leather paneling,"gray, white, black, and light green base",NY velcro patch on upper,"Dual heel pull tabs, hook-and-loop closure",slip-on
p12,mid_layer_top,zip-up hooded sweatshirt,Unisex,casual athletic sweatshirt,loose H-line,cotton fleece,solid black,White NY embroidery on chest,"Full-zip, hooded, side slip pockets, ribbed cuffs",zippered
p13,inner_top,white long-sleeve T-shirt,Unisex,casual basic T-shirt,loose straight-leg,cotton fabric,solid white,Grey B-logo graffiti print on chest,"Ribbed crew neck, regular cuffs",pullover
p14,bottom,jogger pants,Unisex,casual athletic joggers,loose jogger fit,cotton fleece,solid black,White NY embroidery on leg,"Elastic waistband, side slip pockets, ribbed cuffs",slip-on
p15,shoes,silver-gray dad sneakers,Unisex,trendy casual sneakers,chunky dad sneaker silhouette,mesh and leather paneling,"silver, gray, and white colorblock",NY velcro patch on upper,"Dual heel pull tabs, hook-and-loop closure",slip-on
p16,inner_top,pink and white argyle vest,Women's,vintage casual tank top,loose straight-leg,diamond-quilted fabric,light pink and white,"All-over NY letter jacquard, NY embroidery on chest",V-neck sleeveless design,pullover
p17,inner_top,pink and white short-sleeve T-shirt,Women's,casual basic T-shirt,loose cropped fit,cotton fabric,light gray and pink,"Pink NY embroidery on chest, small logo on cuff","Ribbed crew neck, short sleeves",pullover
p18,bottom,pink pleated skirt,Women's,sweet preppy skirt,cropped pleated style,cotton fabric,solid pink,Solid,"Elastic waistband, pleated design",slip-on
p19,accessory,pink and white mid-calf socks,Unisex,casual socks,mid-calf silhouette,cotton fabric,white and pink,"Pink NY embroidery on sock, pink and white stripes",Ribbed cuffs,slip-on
p20,shoes,pink and white dad sneakers,Women's,trendy casual sneakers,chunky dad sneaker silhouette,leather,off-white and pink,Pink Yankees embroidery on upper,Hook-and-loop and lace-up closure,slip-on
p21,inner_top,faux two-piece tank top,Unisex,vintage casual tank top,loose V-neck fit,cotton fabric,light gray and white,"All-over B-logo jacquard, B-logo embroidery on chest",Mock two-piece long-sleeve design,pullover
p22,bottom,brown solid jogger pants,Unisex,casual athletic joggers,loose jogger fit,cotton fleece,dark brown,"B-logo embroidery on leg, white side stripes","Elastic waistband, side slip pockets, ribbed cuffs",slip-on
p23,shoes,light-colored linear dad sneakers,Unisex,trendy casual sneakers,chunky dad sneaker silhouette,mesh and leather paneling,light beige and gray,Linear trim on upper,"Drawstring laces, heel pull tab",slip-on
p24,inner_top,colorblock short-sleeve T-shirt,Unisex,casual trendy T-shirt,loose cropped fit,cotton and nylon paneling,white and khaki,"All-over B-logo jacquard, B-logo embroidery on chest","Color-block paneling, side slip pockets",pullover
p25,bottom,khaki cargo shorts,Unisex,casual cargo shorts,loose straight-leg,nylon,khaki,"B-logo embroidery on leg, black side stripes","Elastic waistband, cargo pockets",slip-on
p26,shoes,khaki platform outdoor dad sneakers,Unisex,outdoor trendy sneakers,chunky outdoor style,mesh and leather paneling,khaki and light brown,Linear trim on upper,"Lace-up closure, heel pull tab",slip-on
p27,inner_top,contrast collar short-sleeve T-shirt,Unisex,casual basic T-shirt,loose straight-leg,cotton fabric,off-white and black,NY embroidery on chest,"Contrast ribbed collar, short sleeves",pullover
p28,bottom,cargo shorts,Unisex,casual cargo shorts,loose straight-leg,nylon,deep black,"NY embroidery on leg, topstitch detail","Elastic waistband, cargo pockets",slip-on
p29,shoes,all-white velcro sneakers,Unisex,casual basic skate shoes,low-top skate sneaker silhouette,leather,solid white,Solid,Hook-and-loop and lace-up closure,slip-on
p30,inner_top,contrast pocket short-sleeve T-shirt,Unisex,casual basic T-shirt,loose straight-leg,cotton fabric,off-white and brown,"B-logo embroidery on chest, contrast pocket","Contrast ribbed collar, short sleeves",pullover
p31,bottom,brown plaid cargo shorts,Unisex,casual cargo shorts,loose straight-leg,nylon,dark brown,"All-over B-logo plaid, B-logo embroidery on leg","Elastic waistband, cargo pockets",slip-on
p32,accessory,brown and white mid-calf socks,Unisex,casual socks,mid-calf silhouette,cotton fabric,white and brown,"B-logo embroidery on sock, brown and white stripes",Ribbed cuffs,slip-on
p33,shoes,outdoor dad sneakers,Unisex,outdoor trendy sneakers,chunky outdoor style,mesh and leather paneling,off-white and navy blue,NY embroidery on upper,"Drawstring laces, heel pull tab",slip-on
p34,mid_layer_top,faux two-piece sweatshirt,Unisex,casual athletic sweatshirt,loose H-line,cotton fleece,black and white,"NY graffiti print on chest, small logo on cuff","Mock two-piece hem, ribbed cuffs",pullover
p35,bottom,black jogger pants,Unisex,casual athletic joggers,loose jogger fit,cotton fleece,solid black,Yankees graffiti print on leg,"Elastic waistband, side slip pockets, ribbed cuffs",slip-on
p36,shoes,silver and black dad sneakers,Unisex,trendy casual sneakers,chunky dad sneaker silhouette,mesh and leather paneling,silver gray and black,MLB letter decoration on upper,"Drawstring laces, heel pull tab",slip-on
p37,inner_top,contrast collar short-sleeve T-shirt,Unisex,casual basic T-shirt,loose straight-leg,cotton fabric,off-white and navy blue,B-logo embroidery on chest,"Contrast ribbed collar, short sleeves",pullover
p38,bottom,navy cargo shorts,Unisex,casual cargo shorts,loose straight-leg,cotton fabric,navy blue,"B-logo embroidery on leg, topstitch detail","Elastic waistband, side slip pockets",slip-on
p39,shoes,off-white outdoor sandals,Unisex,outdoor casual sandals,chunky sandal silhouette,mesh and leather paneling,off-white and light green,NY embroidery on upper,"Hook-and-loop closure, heel pull tab",slip-on
p40,inner_top,rabbit print T-shirt,Unisex,playful casual T-shirt,loose straight-leg,cotton fabric,off-white and purple,Rabbit and Yankees print on back,"Contrast ribbed collar, short sleeves",pullover
p41,bottom,light purple shorts,Unisex,casual basic shorts,loose straight-leg,cotton fabric,light purple,NY embroidery on leg,"Elastic waistband, side slip pockets",slip-on
