outfitID,items,look,season,occasion,URL link
b1,"p1,p2,p3,p4，p5",日系Cityboy风：浅灰连帽卫衣搭配做旧阔腿牛仔裤，棕黄色休闲鞋呼应松弛调性，宽松版型自带街头随性氛围。,春,校园,https://detail.tmall.com/item.htm?abbucket=18&id=990144110026&mi_id=0000vnHn2WeC7LFfiOu871zI5VZrs3aucXzIePhHs62IZog&ns=1&priceTId=2147808e17684632764852482e12c2&skuId=5959804593412&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22c852f43f98638d30255e35a038c3e089%22%7D&xxc=taobaoSearch
b2,"p6,p7,p8,p9,p10",韩系轻潮风：藏蓝半拉链卫衣配米白阔腿裤，装饰链条强化潮流细节，日常出街风格鲜明且适配度高。,秋,出行,https://detail.tmall.com/item.htm?abbucket=18&id=998579013821&mi_id=0000Or19pYx9d4yXxL506Mest0IeanbaeBDMfaUhIm3RAfY&ns=1&priceTId=2147808e17684633107474153e12c2&skuId=6146600278180&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%225c90db82846cc4a41240c7f0bc31c924%22%7D&xxc=taobaoSearch
b3,"p11,p12,p13,p14",户外机能风：黑色修身针织衫搭迷彩多袋工装裤，硬朗版型结合金属配饰，兼具实用感与酷帅气场。,秋,运动,https://detail.tmall.com/item.htm?abbucket=18&id=962484996036&mi_id=0000zmyaQBiUqVRUj5UtRv_fIsQnwZaQDV7ZtLLv8_N1MBE&ns=1&priceTId=2147808e17684633459925986e12c2&skuId=6061922767096&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22467ac48ebe1e6a2ecf3187f608c65c08%22%7D&xxc=taobaoSearch
b4,"p15,p16,p17,p18,p19",轻奢老钱风：燕麦色翻领针织衫叠穿高领内搭，黑牛阔腿裤与金属链条点缀，质感高级且显松弛贵气。,秋冬,居家,https://detail.tmall.com/item.htm?abbucket=18&id=986562099485&mi_id=0000UE4OgIK86JerF81sdKhx3CMB97hJ3-x-eRUHmj_kzxA&ns=1&priceTId=2147808e17684633782457911e12c2&skuId=5951368424424&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2239089a52018b63596dce9df61c3da892%22%7D&xxc=taobaoSearch
b5,"p20,p21,p22,p23,p24,p25,p26",美式复古风：做旧棕褐牛仔外套叠穿格纹衬衫，卡其阔腿裤搭配挎包，复古腔调浓郁且具随性氛围。,春,社交,https://detail.tmall.com/item.htm?abbucket=18&id=971105763100&mi_id=0000acXc3eOMdgTw88uBCSsaDJZQmuudJYOg-km3DPagZ70&ns=1&priceTId=2147808e17684634023341487e12c2&skuId=6089113131407&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%222ccf0e3706ff0b639dc93a0bdf29fc3d%22%7D&xxc=taobaoSearch
b6,"p27,p28,p29,p30,p31",通勤休闲风：浅灰字母卫衣叠穿格纹衬衫，搭配做旧破洞牛仔裤，挎包点缀强化松弛感，适配日常通勤场景。,春夏,校园,https://detail.tmall.com/item.htm?abbucket=18&id=998350873274&mi_id=0000dwSXfc9Wtvokwm4CE8u4Q_WXe-OKg4bn45e60nBjJXg&ns=1&priceTId=2147808e17684634207822348e12c2&skuId=6146790639821&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223e8d58ee3799ba9ce4af394f202985bc%22%7D&xxc=taobaoSearch
b7,"p32,p33,p34,p35,p36,p37",先锋解构风：深灰短款棉服叠穿豹纹内搭，米白阔腿裤呼应小众设计，造型感突出且具先锋调性。,秋冬,居家,https://detail.tmall.com/item.htm?abbucket=18&id=997465406750&mi_id=0000hEYjjX0rJLEgcPR7W2fNjpJrLZV7SH4c3xmTOq_iez4&ns=1&priceTId=2147808e17684634418963443e12c2&skuId=6146618611278&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22b5d04720956707f3d0b5a5a01c9595b5%22%7D&xxc=taobaoSearch
b8,"p38,p39,p40,p41,p42",知识分子风：水洗蓝牛仔套装，装饰细节与帆布包加持，文艺随性且不失穿搭巧思。,春,出行,https://detail.tmall.com/item.htm?abbucket=18&id=989353035740&mi_id=0000eFlsp2VMnYNpfYh7qqQWBCB9v-ZzVJS3VL99VADrOmo&ns=1&priceTId=2147808e17684634584114557e12c2&skuId=6123781686948&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2254121ac5bdfc5ab3865140b9f2527794%22%7D&xxc=taobaoSearch
b9,"p43,p44,p45,p46,p47",韩系轻潮风：黑蓝撞色针织开衫配黑阔腿裤，数字与徽章元素强化风格，潮酷亮眼且适合日常出街。,秋,校园,https://detail.tmall.com/item.htm?abbucket=18&id=877095585956&mi_id=0000mNDQMFqKJ0u1jaT9PMMj5xGPBdln9KnmJjxK60Xw6aA&ns=1&priceTId=2147808e17684634847726118e12c2&skuId=5882813314992&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22632c706ef3b0400b389e781eec1803a6%22%7D&xxc=taobaoSearch
b10,"p48,p49,p50,p51,p52",美式复古风：格纹拉链衬衫外套搭黑阔腿裤，西部帽与金属链条点缀，复古痞帅兼具美式街头氛围。,秋,居家,https://detail.tmall.com/item.htm?abbucket=18&id=825687251543&mi_id=0000gw2aVu9gMih9NXS9-ASUjOd7UjVWzKyg_Ewq0jEBwOM&ns=1&priceTId=2147808e17684634981926901e12c2&skuId=5716815087251&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22898933d844df09704875c99857c936b0%22%7D&xxc=taobaoSearch
b11,"p53,p54,p55,p56,p57,p58",日系Cityboy风：藏蓝格纹外套搭配深色阔腿牛仔裤，棒球帽与棕黄休闲鞋呼应松弛调性，宽松版型自带街头随性氛围。,秋冬,出行,https://detail.tmall.com/item.htm?abbucket=18&id=831362296261&mi_id=0000_o9TuPLZEsOoCdwCSfXGrhVfWHaREy-6V-dZ71DXxZ4&ns=1&priceTId=2147808e17684635217288333e12c2&skuId=5737672838981&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22d33273265a1bfce934136ed30f0c9f08%22%7D&xxc=taobaoSearch
