itemID,title,gender,style,outline,materials,color,pattern,detail,donning/doffing,URL link
p1,白色长款羊羔毛外套,女款,软糯羊羔毛,宽松长款版型,羊羔毛面料,白色,翻领单排纽扣,纽扣开合设计,直接穿脱，通过纽扣系合,https://item.taobao.com/item.htm?from=cart&id=692096023269&mi_id=00001vwoK_uhxE23sQ432NPNyOMq77eJNYjLZXZblwlscKI&spm=a1z0d.6639537%2F202410.item.d692096023269.6e6c7484dp35Oz
p2,藏青色针织开衫,女款,绞花纹理针织,修身短款版型,针织面料,深蓝色,绞花纹理，V领,纽扣设计，侧边小徽章装饰,开衫式穿脱，通过纽扣调节松紧,https://item.taobao.com/item.htm?from=cart&id=692096023269&mi_id=00001vwoK_uhxE23sQ432NPNyOMq77eJNYjLZXZblwlscKI&spm=a1z0d.6639537%2F202410.item.d692096023269.6e6c7484dp35Oz
p3,白色褶皱装饰衬衫,女款,基础款衬衫,修身长袖版型,棉质面料,白色,翻领，胸前褶皱细节，长袖基础版型，带小装饰标,胸前褶皱装饰，领口小徽章,衬衫式穿脱，通过纽扣开合,https://item.taobao.com/item.htm?id=748759465166&mi_id=0000HGlCuVfF0xImyn9U1qzZ9TF32OmH71mNUSvbKxsx65g&spm=a21xtw.29978518.0.0&xxc=shop
p4,灰色高腰半身裙,女款,学院风A字裙,高腰A字短裙版型,挺括聚酯纤维,灰色,A字短款，侧口袋，带小装饰标,腰部收褶，侧边小标识,穿脱方便，可调节腰部松紧,https://item.taobao.com/item.htm?id=873807403950&mi_id=00004bLfmkyoH5D6fsYmNbkZB0mZU1Yj7zF9WKP5fu6pHLQ&spm=a21xtw.29978518.0.0&xxc=shop
p5,黑色贝雷帽,女款,毛呢贝雷帽,贝雷帽经典版型,毛呢面料,黑色,经典帽型，侧边带小装饰标,侧边小标识装饰,直接佩戴，调整造型即可,https://detail.tmall.com/item.htm?abbucket=8&id=839919554770&mi_id=0000-eXZuO5fike0WW40SkgeIPjCooTgilbcomhD6oIfYh8&ns=1&priceTId=214784e717689944045308506e1193&skuId=5774156699545&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%228e0b553f9bd4cf098386d82016aeef25%22%7D&xxc=taobaoSearch
p6,黑色链条单肩包,女款,菱格纹链条包,方形包身版型,皮革面料,黑色,绗缝菱格纹，金属链条肩带，翻盖设计，带装饰扣,金属链条肩带,单肩挎戴，通过开合扣使用,https://detail.tmall.com/item.htm?abbucket=8&id=954205199647&mi_id=0000z3I1gj4Cfibel6W2HxZJlMmhgaVZgJPQ4nYZr2n2AlA&ns=1&priceTId=214784e717689945415603819e1193&skuId=5877768916801&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%220573bc4f81f7f7c379b2185cab982322%22%7D&xxc=taobaoSearch
p7,黑白菱格纹长袜,女款,撞色菱格袜,中筒长袜版型,棉质混纺面料,黑色、白色,白底黑色菱格纹,菱格图案装饰,直接穿脱,https://item.taobao.com/item.htm?abbucket=8&id=652157320080&mi_id=0000vTar_FEvF_FnwyHIrpIQt8BKTVJvgZY7IEyEv5n2SUo&ns=1&priceTId=213e0ac317689947564005374e11e7&skuId=4711396649425&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22526c8fbbc65074f21866083e4897ba89%22%7D&xxc=taobaoSearch
p8,黑色金属标乐福鞋,女款,厚底乐福鞋,乐福鞋经典版型,皮革面料,黑色,厚底鞋型，鞋身带金属标志,鞋头金属标识装饰,直接穿脱,https://detail.tmall.com/item.htm?abbucket=8&id=645916460576&mi_id=0000lIoZlLD6CmH_gLQhpNylggsvsCjWeeGHeY4HNLHu0b8&ns=1&priceTId=213e0ac317689948458385898e11e7&skuId=5786801518852&spm=a21n57.imgsearch.item.10&utparam=%7B%22aplus_abtest%22%3A%22f61cbe992da39cfcc1886acc6f074782%22%7D&xxc=taobaoSearch
p9,深灰色长款毛呢外套,女款,羊羔毛外套,宽松长款版型,毛呢面料,深灰色,翻领单排纽扣,纽扣开合设计,直接穿脱，通过纽扣系合,https://item.taobao.com/item.htm?from=cart&id=692096023269&mi_id=00001vwoK_uhxE23sQ432NPNyOMq77eJNYjLZXZblwlscKI&spm=a1z0d.6639537%2F202410.item.d692096023269.6e6c7484dp35Oz
p10,酒红色针织开衫,女款,绞花纹理针织,修身短款版型,针织面料,酒红色,绞花纹理，V领,纽扣设计，侧边小徽章装饰,开衫式穿脱，通过纽扣调节松紧,https://item.taobao.com/item.htm?from=cart&id=692096023269&mi_id=00001vwoK_uhxE23sQ432NPNyOMq77eJNYjLZXZblwlscKI&spm=a1z0d.6639537%2F202410.item.d692096023269.6e6c7484dp35Oz
p11,白色褶皱装饰衬衫,女款,基础款衬衫,修身长袖版型,棉质面料,白色,翻领，长袖基础版型，带小装饰标,胸前褶皱装饰，领口小徽章,衬衫式穿脱，通过纽扣开合,https://item.taobao.com/item.htm?id=748759465166&mi_id=0000HGlCuVfF0xImyn9U1qzZ9TF32OmH71mNUSvbKxsx65g&spm=a21xtw.29978518.0.0&xxc=shop
p12,灰色高腰半身裙,女款,学院风A字裙,高腰A字短裙版型,挺括聚酯纤维,灰色,A字短款，带小装饰标,腰部收褶，侧边小标识,穿脱方便，可调节腰部松紧,https://item.taobao.com/item.htm?id=873807403950&mi_id=00004bLfmkyoH5D6fsYmNbkZB0mZU1Yj7zF9WKP5fu6pHLQ&spm=a21xtw.29978518.0.0&xxc=shop
p13,黑色贝雷帽,女款,毛呢贝雷帽,贝雷帽经典版型,毛呢面料,黑色,经典帽型，带小装饰标,侧边小标识装饰,直接佩戴，调整造型即可,https://detail.tmall.com/item.htm?abbucket=8&id=839919554770&mi_id=0000-eXZuO5fike0WW40SkgeIPjCooTgilbcomhD6oIfYh8&ns=1&priceTId=214784e717689944045308506e1193&skuId=5774156699545&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%228e0b553f9bd4cf098386d82016aeef25%22%7D&xxc=taobaoSearch
