outfitID,items,look,season,occasion,URL link
b1,"p1,p2,p3",美式休闲运动风：黑卫衣搭配黑束脚裤，简约运动套装，舒适潮酷，适配日常。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=961956406032&mi_id=0000yTet0wHdDs6Gd3Am8-a7jdJ07DhM_pjPCN3ZgsbYuoY&ns=1&priceTId=2150431117683987208158127e1993&skuId=6062914754480&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2223efb829bf5e0777ec8f50b3f4f0999f%22%7D&xxc=taobaoSearch
b2,"p4,p5,p6",美式休闲运动风：黑色卫衣印有字样装饰，搭配侧边带线条的运动裤，细节精致，延续休闲运动的随性。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=945382378590&mi_id=0000ZoqYbHuVCZlyYdOH4xsv9WhtW_DSCJ8vdaGmZIgAp5I&ns=1&priceTId=2150431117683988178721188e1993&skuId=5850600044966&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22fc0cec824da70d268532ff26112625bf%22%7D&xxc=taobaoSearch
b3,"p7,p8,p9,p10,p11",英伦学院风：卡其色无袖背心叠穿白色长袖，搭配同色系裤子，后背有格纹装饰，色调柔和显文艺。,春,日常,https://detail.tmall.com/item.htm?abbucket=2&id=889015270099&mi_id=00003TRHB8J8jOeufFaxEBUAkcldW9ySnWqGmHH_gBBobTg&ns=1&priceTId=2150431117683988525994558e1993&skuId=5735526265426&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%2264d463bed3432c5fd1c3a258c93810be%22%7D&xxc=taobaoSearch
b4,"p12,p13,p14,p15",美式休闲运动风：黑色连帽拉链外套内搭白色短袖，配同系列裤子与帽子，整套造型利落保暖。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=854834953057&mi_id=0000wF2yDuOWU5gbQL5QVVQWEbwLjyGEMzOukfqKmD4PBEY&ns=1&priceTId=2150431117683988719116597e1993&skuId=5656249060335&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22a54c83a5c92ef71cc03525ec17b2e3c0%22%7D&xxc=taobaoSearch
b5,"p16,p17,p18,p19,p20",法式小香风：粉色菱格纹马甲叠穿白色短袖，搭配同色百褶裙，风格精致甜美，适配轻正式场合。,春夏,日常/校园,https://detail.tmall.com/item.htm?abbucket=2&benefitReciveParams=%7B%22toast%22%3Atrue%2C%22channel%22%3A%22lafite_pcsousuojx%22%2C%22asac%22%3A%223A258115YHMBX70LR8BMZD%22%2C%22strategyCode%22%3A%22cf99038e5ad44072877c2d331145e0b4%22%2C%22selectedBenefitCode%22%3A%223f269a874b2f4b28a5758840728ea52b%2Ce7f9a72695b14f42b720e12207339b38%2C4197878247924afeb9f32be0b7fb6505%22%7D&id=888770719476&mi_id=0000QkJH8YkfNffkc36qyww4Bz2FmkGILTyYdcwLRGW9xZY&ns=1&priceTId=214784c417686397450427677e10e2&skuId=5966888562717&spm=a21n57.imgsearch.item.12&utparam=%7B%22aplus_abtest%22%3A%22bdf7de2ba3f94e0e11f46cfaffb52402%22%7D&xxc=taobaoSearch
b6,"p21,p22,p23",国潮街头运动风：浅灰色满印装饰马甲叠穿白色长袖，搭配棕褐色裤子，造型有个性且舒适。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=953449306173&mi_id=0000yyHCJQhc7rowW8q9zYU_X-3bra2mxe71ojKPj7ak9CA&ns=1&priceTId=2150431117683991431251060e1993&skuId=6041718123485&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%228a40a0dc13d6def912a7f53ef08e8fcc%22%7D&xxc=taobaoSearch
b7,"p24,p25,p26",国潮街头运动风：白棕撞色短袖搭配卡其色短裤，设计有活力，适合夏季日常出行。,夏,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=891579948972&mi_id=0000FVq54W9DzP4dOtEeFtw9kWIYtwVIMQsdE9d3evfJrYU&ns=1&priceTId=2150431117683991800014148e1993&skuId=5801698105220&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%225ce48408bfec533d001b1f2494e55cd7%22%7D&xxc=taobaoSearch
b8,"p27,p28,p29",美式休闲运动风：浅灰色短袖配深灰色短裤，配色清爽，是夏季休闲的简约选择。,夏,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=916655979987&mi_id=0000SE1pO9wXKGsdNdOOJmbq8GWPzRM1Nv1lmj1_EmRJRfU&ns=1&priceTId=2150431117683991997176081e1993&skuId=5786700897410&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%220f914496ec01739b97c4725b61006662%22%7D&xxc=taobaoSearch
b9,"p30,p31,p32,p33",童趣软萌风：米白色短袖搭配满印装饰短裤，配色柔和图案可爱，契合孩童气质。,夏,日常/校园,https://detail.tmall.com/item.htm?abbucket=2&id=891578112017&mi_id=0000zh2CHsHx4ZbaddPB-iR759SzPgAsNBFBuAR8R4MTDqY&ns=1&priceTId=2150431117683992202878120e1993&skuId=5736256024780&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22930cb1066202168efc5ba1b0cb91ea0d%22%7D&xxc=taobaoSearch
b10,"p34,p35,p36",美式休闲运动风：黑色卫衣搭配同色裤子，卫衣下摆露出白边增加层次，风格随性潮酷。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=868611150636&mi_id=0000qatVEtlFIvJN1No7o6DgRhbKIPTErVKGKAf6RG89wGI&ns=1&priceTId=2150431117683992406061879e1993&skuId=5865575867400&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223a688184abd09d8ef322c000ed110aaf%22%7D&xxc=taobaoSearch
b11,"p37,p38,p39",国潮街头运动风：浅色系短袖配深色短裤，装饰元素呼应，简约清爽，适配夏季街头休闲。,夏,日常/出行,https://detail.tmall.com/item.htm?abbucket=2&id=917967488373&mi_id=0000PYFdp_E2Ttzd8jIk0hTVMRYmJ-geVc3LstLKk_5TncU&ns=1&priceTId=2150431117683993940611209e1993&skuId=5784904636957&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223478f7f3e16ff2db232cd16d88ca9aa3%22%7D&xxc=taobaoSearch
b12,"p40,p41,p42",美式休闲运动风：浅白短袖配浅紫短裤，色调柔和清新，搭遮阳帽，休闲舒适，适合夏日户外。,春夏,日常/校园,https://detail.tmall.com/item.htm?abbucket=2&id=917967488373&mi_id=0000PYFdp_E2Ttzd8jIk0hTVMRYmJ-geVc3LstLKk_5TncU&ns=1&priceTId=2150431117683993940611209e1993&skuId=5784904636957&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%223478f7f3e16ff2db232cd16d88ca9aa3%22%7D&xxc=taobaoSearch
b13,"p43,p44,p45,p46,p47",童趣软萌风：灰色卫衣印围巾装饰，配多层百褶裙与长筒袜，造型可爱软萌，细节呼应显精致。,春,日常/运动,https://detail.tmall.com/item.htm?abbucket=2&id=995501413449&mi_id=0000Kwa4aNWyFIMgF1Wz77zF_VMdvp-JThB5szVLJXtvuNM&ns=1&priceTId=2150431117683994245804301e1993&skuId=6149855342336&spm=a21n57.imgsearch.item.1&utparam=%7B%22aplus_abtest%22%3A%22d94e434d33ffe1d8a3866326cda8c63a%22%7D&xxc=taobaoSearch
